Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Switch_mean,Interv_rate_pct
shield_off,80,3268.59,2937.54,3574.24,71.73,14.52,11.85,17.2,7.24,0.0
vmaf_aware_tol1.0_bud12,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_riskgate_tol1.2_bud08,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_riskgate_tol1.0_bud12,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_riskgate_tol1.0_bud08,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol1.2_bud12,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol1.2_bud08,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol1.2_bud04,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol1.0_bud08,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol1.0_bud04,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol0.8_bud12,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol0.8_bud08,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol0.8_bud04,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_riskgate_tol1.2_bud12,80,3197.12,2860.44,3497.5,70.43,4.26,3.45,5.08,13.39,8.85
vmaf_aware_tol1.5_bud04,80,3197.08,2860.62,3497.1,70.42,4.28,3.48,5.11,13.41,8.96
vmaf_aware_tol1.5_bud08,80,3197.08,2860.62,3497.1,70.42,4.28,3.48,5.11,13.41,8.96
vmaf_aware_tol1.5_bud12,80,3197.08,2860.62,3497.1,70.42,4.28,3.48,5.11,13.41,8.96
shield_legacy,80,3195.89,2858.52,3496.25,70.43,4.41,3.59,5.26,13.44,9.01
shield_legacy_riskgate,80,3195.89,2858.52,3496.25,70.43,4.41,3.59,5.26,13.44,9.01
