Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Switch_mean,Interv_rate_pct
thresh_cat4.0_vmafFB,80,3251.81,2925.36,3553.35,69.46,5.2,3.83,6.63,4.01,4.4
thresh_cat3.0_vmafFB,80,3246.79,2921.19,3546.93,69.12,3.1,2.3,3.9,4.45,5.78
thresh_cat3.0_rg1.50,80,3244.12,2917.59,3543.95,69.1,3.37,2.5,4.27,4.45,5.52
thresh_cat3.0,80,3244.12,2917.59,3543.95,69.1,3.37,2.5,4.27,4.45,5.52
thresh_cat3.0_rg1.30,80,3244.12,2917.59,3543.95,69.1,3.37,2.5,4.27,4.45,5.52
thresh_cat4.0_rg2.00,80,3242.87,2918.03,3545.0,69.55,6.39,4.74,8.05,4.24,4.09
thresh_cat4.0_rg1.50,80,3242.87,2918.03,3545.0,69.55,6.39,4.74,8.05,4.24,4.09
thresh_cat4.0,80,3242.87,2918.03,3545.0,69.55,6.39,4.74,8.05,4.24,4.09
thresh_cat5.0,80,3242.17,2912.91,3549.11,70.08,9.5,7.23,11.81,4.25,3.18
thresh_cat5.0_rg1.50,80,3242.17,2912.91,3549.11,70.08,9.5,7.23,11.81,4.25,3.18
thresh_cat5.0_rg2.00,80,3242.17,2912.91,3549.11,70.08,9.5,7.23,11.81,4.25,3.18
vmaf_aware_tol1.2_bud04,80,3229.23,2906.42,3530.46,68.71,1.34,0.99,1.75,5.15,7.5
vmaf_aware_tol1.2_bud08,80,3229.23,2906.42,3530.46,68.71,1.34,0.99,1.75,5.15,7.5
vmaf_aware_tol1.2_bud12,80,3229.23,2906.42,3530.46,68.71,1.34,0.99,1.75,5.15,7.5
vmaf_riskgate_tol1.2_bud08,80,3229.23,2906.42,3530.46,68.71,1.34,0.99,1.75,5.15,7.5
vmaf_riskgate_tol1.2_bud12,80,3229.23,2906.42,3530.46,68.71,1.34,0.99,1.75,5.15,7.5
lookahead_h2_mb1.0_vmafFB,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
lookahead_h3_mb1.0_vmafFB,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
lookahead_h5_mb1.0_vmafFB,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
vmaf_riskgate_tol1.0_bud12,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
vmaf_aware_tol1.0_bud04,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
vmaf_riskgate_tol1.0_bud08,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
vmaf_aware_tol1.0_bud12,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
vmaf_aware_tol1.0_bud08,80,3228.94,2907.08,3529.23,68.66,1.32,0.98,1.72,5.01,7.24
thresh_cat2.0,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h3_mb1.0_ts0.95,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h5_mb1.0_ts0.95,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h5_mb1.0_ts1.00,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h3_mb1.0,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h3_mb1.0_ts1.00,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h3_mb0.5,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
shield_legacy_riskgate,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h5_mb1.5,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h2_mb1.0,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h2_mb1.5,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h2_mb0.5,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
shield_legacy,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h3_mb1.5,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h5_mb0.5,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
lookahead_h5_mb1.0,80,3228.18,2905.9,3527.83,68.62,1.21,0.94,1.49,4.95,7.24
vmaf_aware_tol0.8_bud12,80,3227.8,2905.89,3527.34,68.61,1.19,0.92,1.47,5.01,7.21
vmaf_aware_tol0.8_bud08,80,3227.8,2905.89,3527.34,68.61,1.19,0.92,1.47,5.01,7.21
vmaf_aware_tol0.8_bud04,80,3227.8,2905.89,3527.34,68.61,1.19,0.92,1.47,5.01,7.21
vmaf_aware_tol1.5_bud12,80,3226.28,2902.76,3525.31,68.82,1.78,1.31,2.27,5.49,8.44
vmaf_aware_tol1.5_bud08,80,3226.28,2902.76,3525.31,68.82,1.78,1.31,2.27,5.49,8.44
vmaf_aware_tol1.5_bud04,80,3226.28,2902.76,3525.31,68.82,1.78,1.31,2.27,5.49,8.44
shield_off,80,2999.68,2568.98,3387.9,72.22,41.24,29.04,55.39,6.81,0.0
