Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Switch_mean,Interv_rate_pct
shield_off,80,3277.61,2946.44,3578.66,71.83,14.0,11.36,16.63,7.16,0.0
thresh_cat5.0_rg2.00,80,3272.86,2944.14,3575.52,71.7,13.0,10.5,15.47,7.59,0.91
thresh_cat5.0_rg1.50,80,3272.86,2944.14,3575.52,71.7,13.0,10.5,15.47,7.59,0.91
thresh_cat5.0,80,3272.86,2944.14,3575.52,71.7,13.0,10.5,15.47,7.59,0.91
thresh_cat4.0,80,3267.91,2939.19,3569.34,71.57,11.63,9.35,13.92,8.22,1.8
thresh_cat4.0_rg2.00,80,3267.91,2939.19,3569.34,71.57,11.63,9.35,13.92,8.22,1.8
thresh_cat4.0_rg1.50,80,3267.91,2939.19,3569.34,71.57,11.63,9.35,13.92,8.22,1.8
thresh_cat4.0_vmafFB,80,3267.88,2939.04,3569.05,71.56,11.52,9.26,13.79,8.25,1.74
thresh_cat3.0_vmafFB,80,3253.27,2922.93,3552.41,71.28,9.01,7.22,10.77,9.62,3.54
thresh_cat3.0_rg1.50,80,3252.6,2922.3,3552.65,71.29,9.21,7.45,10.98,9.62,3.62
thresh_cat3.0_rg1.30,80,3252.6,2922.3,3552.65,71.29,9.21,7.45,10.98,9.62,3.62
thresh_cat3.0,80,3252.6,2922.3,3552.65,71.29,9.21,7.45,10.98,9.62,3.62
lookahead_h5_mb1.5,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
shield_legacy,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
shield_legacy_riskgate,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
thresh_cat2.0,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h5_mb1.0_ts0.95,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h5_mb1.0_ts1.00,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h3_mb1.0_ts0.95,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h3_mb1.0_ts1.00,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h5_mb1.0,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h5_mb0.5,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h3_mb1.5,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h3_mb1.0,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h3_mb0.5,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h2_mb1.0,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h2_mb0.5,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
lookahead_h2_mb1.5,80,3220.42,2888.61,3517.1,70.66,4.47,3.67,5.27,12.4,8.18
vmaf_aware_tol1.5_bud04,80,3220.39,2889.49,3517.39,70.66,4.45,3.63,5.25,12.36,8.07
vmaf_aware_tol1.5_bud08,80,3220.39,2889.49,3517.39,70.66,4.45,3.63,5.25,12.36,8.07
vmaf_aware_tol1.5_bud12,80,3220.39,2889.49,3517.39,70.66,4.45,3.63,5.25,12.36,8.07
vmaf_aware_tol1.0_bud04,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol1.2_bud08,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol1.2_bud12,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol0.8_bud04,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol0.8_bud08,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol0.8_bud12,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_riskgate_tol1.0_bud08,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol1.0_bud08,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
lookahead_h5_mb1.0_vmafFB,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
lookahead_h3_mb1.0_vmafFB,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
lookahead_h2_mb1.0_vmafFB,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_riskgate_tol1.0_bud12,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_riskgate_tol1.2_bud08,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_riskgate_tol1.2_bud12,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol1.2_bud04,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
vmaf_aware_tol1.0_bud12,80,3220.22,2889.64,3516.8,70.65,4.41,3.6,5.22,12.36,8.05
