Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Switch_mean,Interv_rate_pct
lookahead_h3_mb1.0_vmafFB,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
vmaf_aware_tol1.0_bud12,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
lookahead_h5_mb1.0_vmafFB,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
vmaf_riskgate_tol1.0_bud12,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
vmaf_riskgate_tol1.0_bud08,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
lookahead_h2_mb1.0_vmafFB,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
vmaf_aware_tol1.0_bud04,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
vmaf_aware_tol1.0_bud08,80,2552.17,2200.05,2887.57,66.24,4.99,4.27,5.75,21.0,3.18
shield_off,80,2549.73,2192.79,2905.8,66.95,11.74,9.6,14.13,19.39,0.0
vmaf_aware_tol0.8_bud12,80,2545.14,2199.33,2882.9,66.28,4.89,4.11,5.72,21.06,3.18
vmaf_aware_tol0.8_bud08,80,2545.14,2199.33,2882.9,66.28,4.89,4.11,5.72,21.06,3.18
vmaf_aware_tol0.8_bud04,80,2545.14,2199.33,2882.9,66.28,4.89,4.11,5.72,21.06,3.18
thresh_cat3.0_vmafFB,80,2542.14,2193.47,2875.49,66.4,8.22,6.93,9.6,20.3,1.41
vmaf_aware_tol1.2_bud04,80,2539.53,2188.42,2871.88,66.12,5.14,4.37,5.9,21.24,3.15
vmaf_aware_tol1.2_bud12,80,2539.53,2188.42,2871.88,66.12,5.14,4.37,5.9,21.24,3.15
vmaf_riskgate_tol1.2_bud08,80,2539.53,2188.42,2871.88,66.12,5.14,4.37,5.9,21.24,3.15
vmaf_riskgate_tol1.2_bud12,80,2539.53,2188.42,2871.88,66.12,5.14,4.37,5.9,21.24,3.15
vmaf_aware_tol1.2_bud08,80,2539.53,2188.42,2871.88,66.12,5.14,4.37,5.9,21.24,3.15
thresh_cat5.0_rg2.00,80,2531.43,2176.44,2884.28,66.68,10.5,8.88,12.17,20.02,0.52
thresh_cat5.0_rg1.50,80,2531.43,2176.44,2884.28,66.68,10.5,8.88,12.17,20.02,0.52
thresh_cat5.0,80,2531.43,2176.44,2884.28,66.68,10.5,8.88,12.17,20.02,0.52
thresh_cat4.0_vmafFB,80,2519.59,2168.28,2871.76,66.5,9.84,8.27,11.44,20.39,0.89
thresh_cat4.0_rg2.00,80,2515.62,2161.97,2866.37,66.53,10.19,8.58,11.8,20.46,0.89
thresh_cat4.0_rg1.50,80,2515.62,2161.97,2866.37,66.53,10.19,8.58,11.8,20.46,0.89
thresh_cat4.0,80,2515.62,2161.97,2866.37,66.53,10.19,8.58,11.8,20.46,0.89
vmaf_aware_tol1.5_bud04,80,2513.93,2163.61,2847.4,66.09,5.64,4.87,6.4,21.74,3.26
vmaf_aware_tol1.5_bud08,80,2513.93,2163.61,2847.4,66.09,5.64,4.87,6.4,21.74,3.26
vmaf_aware_tol1.5_bud12,80,2513.93,2163.61,2847.4,66.09,5.64,4.87,6.4,21.74,3.26
thresh_cat3.0_rg1.50,80,2509.05,2159.34,2853.09,66.42,8.96,7.65,10.29,20.96,1.48
thresh_cat3.0_rg1.30,80,2509.05,2159.34,2853.09,66.42,8.96,7.65,10.29,20.96,1.48
thresh_cat3.0,80,2509.05,2159.34,2853.09,66.42,8.96,7.65,10.29,20.96,1.48
lookahead_h3_mb0.5,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
thresh_cat2.0,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
shield_legacy_riskgate,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h2_mb0.5,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
shield_legacy,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h2_mb1.0,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h2_mb1.5,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h5_mb1.0_ts0.95,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h5_mb1.0_ts1.00,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h3_mb1.0_ts0.95,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h3_mb1.0_ts1.00,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h5_mb1.5,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h5_mb1.0,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h5_mb0.5,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h3_mb1.5,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
lookahead_h3_mb1.0,80,2498.63,2151.09,2828.4,66.02,6.05,5.18,6.88,21.9,3.46
