target,anchor,n,mean_QoE_target,mean_QoE_anchor,delta_mean_QoE,delta_median_QoE,wilcoxon_p_QoE,mean_Rebuffer_target,mean_Rebuffer_anchor,delta_mean_Rebuffer,delta_median_Rebuffer,wilcoxon_p_Rebuffer,mean_VMAF_target,mean_VMAF_anchor,delta_mean_VMAF,delta_median_VMAF,wilcoxon_p_VMAF
vmaf_aware_tol1.0_bud08,shield_legacy,80,2561.0009,2518.8748,42.1261,0.0000,0.0050,5.1158,5.6672,-0.5514,0.0000,0.0029,66.0403,65.8160,0.2244,0.0000,0.0564
vmaf_aware_tol1.0_bud08,shield_off,80,2561.0009,2563.7175,-2.7167,0.0000,0.9804,5.1158,11.0394,-5.9236,-3.5055,0.0000,66.0403,66.5466,-0.5063,-0.2707,0.0005
vmaf_aware_tol0.8_bud08,shield_legacy,80,2583.6960,2518.8748,64.8212,0.0000,0.0014,4.9816,5.6672,-0.6856,0.0000,0.0027,66.1336,65.8160,0.3177,0.0000,0.0406
vmaf_aware_tol0.8_bud08,shield_off,80,2583.6960,2563.7175,19.9784,0.0000,0.4303,4.9816,11.0394,-6.0578,-3.2385,0.0000,66.1336,66.5466,-0.4130,-0.2627,0.0036
vmaf_aware_tol1.2_bud08,shield_legacy,80,2546.8571,2518.8748,27.9823,0.0000,0.0023,5.0290,5.6672,-0.6381,0.0000,0.0003,65.8897,65.8160,0.0738,0.0000,0.5576
vmaf_aware_tol1.2_bud08,shield_off,80,2546.8571,2563.7175,-16.8605,0.0000,0.6261,5.0290,11.0394,-6.0104,-4.0986,0.0000,65.8897,66.5466,-0.6568,-0.2707,0.0000
vmaf_aware_tol1.5_bud08,shield_legacy,80,2532.2324,2518.8748,13.3577,0.0000,0.0456,5.2130,5.6672,-0.4542,0.0000,0.0021,65.8638,65.8160,0.0478,0.0000,0.6388
vmaf_aware_tol1.5_bud08,shield_off,80,2532.2324,2563.7175,-31.4851,0.0000,0.3110,5.2130,11.0394,-5.8264,-3.8167,0.0000,65.8638,66.5466,-0.6828,-0.2545,0.0000
lookahead_h3_mb1.0_vmafFB,shield_legacy,80,2561.0009,2518.8748,42.1261,0.0000,0.0050,5.1158,5.6672,-0.5514,0.0000,0.0029,66.0403,65.8160,0.2244,0.0000,0.0564
lookahead_h3_mb1.0_vmafFB,shield_off,80,2561.0009,2563.7175,-2.7167,0.0000,0.9804,5.1158,11.0394,-5.9236,-3.5055,0.0000,66.0403,66.5466,-0.5063,-0.2707,0.0005
thresh_cat3.0_vmafFB,shield_legacy,80,2539.1068,2518.8748,20.2321,0.0000,0.1738,8.4467,5.6672,2.7795,0.2162,0.0000,66.3027,65.8160,0.4868,0.0003,0.0000
thresh_cat3.0_vmafFB,shield_off,80,2539.1068,2563.7175,-24.6107,0.0000,0.5229,8.4467,11.0394,-2.5927,0.0000,0.0000,66.3027,66.5466,-0.2439,0.0000,0.0072
thresh_cat4.0_vmafFB,shield_legacy,80,2526.2098,2518.8748,7.3350,0.0000,0.9965,9.9537,5.6672,4.2865,1.9997,0.0000,66.3597,65.8160,0.5437,0.0354,0.0000
thresh_cat4.0_vmafFB,shield_off,80,2526.2098,2563.7175,-37.5078,0.0000,0.0853,9.9537,11.0394,-1.0857,0.0000,0.0630,66.3597,66.5466,-0.1869,0.0000,0.0111
thresh_cat3.0,shield_legacy,80,2519.4030,2518.8748,0.5282,0.0000,0.4524,8.9376,5.6672,3.2704,1.6294,0.0000,66.1958,65.8160,0.3798,0.0003,0.0000
thresh_cat3.0,shield_off,80,2519.4030,2563.7175,-44.3145,0.0000,0.0200,8.9376,11.0394,-2.1018,0.0000,0.0002,66.1958,66.5466,-0.3508,0.0000,0.0000
thresh_cat4.0,shield_legacy,80,2530.7837,2518.8748,11.9089,0.0000,0.7668,9.9628,5.6672,4.2956,1.8885,0.0000,66.3745,65.8160,0.5585,0.0354,0.0000
thresh_cat4.0,shield_off,80,2530.7837,2563.7175,-32.9338,0.0000,0.1219,9.9628,11.0394,-1.0766,0.0000,0.0250,66.3745,66.5466,-0.1721,0.0000,0.0078
thresh_cat5.0,shield_legacy,80,2557.1734,2518.8748,38.2986,0.0000,0.1585,10.4854,5.6672,4.8182,2.2162,0.0000,66.4776,65.8160,0.6617,0.2462,0.0000
thresh_cat5.0,shield_off,80,2557.1734,2563.7175,-6.5441,0.0000,0.4631,10.4854,11.0394,-0.5540,0.0000,0.1730,66.4776,66.5466,-0.0689,0.0000,0.0231
