Method,Video,Episode,Chunk,Raw_Action,Exec_Action,Raw_VMAF,Exec_VMAF_ladder,VMAF_given_up,Intervened,Rebuffer_s
shield_off,bigbuckbunny,0,0,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,0,1,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,0,2,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,0,3,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,0,4,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,0,5,1,1,83.73,83.73,0.0,0,0.0
shield_off,bigbuckbunny,0,6,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,7,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,8,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,9,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,10,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,11,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,12,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,13,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,14,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,15,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,16,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,17,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,18,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,19,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,20,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,21,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,22,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,23,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,24,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,25,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,26,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,27,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,28,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,29,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,30,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,31,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,32,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,33,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,34,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,35,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,36,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,37,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,38,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,39,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,40,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,41,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,42,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,43,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,44,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,45,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,0,46,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,0,47,3,3,95.49,95.49,0.0,0,0.0
shield_off,bigbuckbunny,1,0,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,1,1,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,1,2,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,1,3,0,0,66.58,66.58,0.0,0,0.0
shield_off,bigbuckbunny,1,4,1,1,83.73,83.73,0.0,0,0.0
shield_off,bigbuckbunny,1,5,1,1,83.73,83.73,0.0,0,0.0
shield_off,bigbuckbunny,1,6,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,1,7,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,1,8,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,1,9,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,1,10,2,2,90.34,90.34,0.0,0,0.0
shield_off,bigbuckbunny,1,11,2,2,90.34,90.34,0.0,0,0.0
