Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,QoE_CVaR10,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Rebuf_p95,Rebuf_p99,StallFree_frac,Switch_mean,Interv_rate_pct
shield_off,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
shield_legacy,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.16
vmaf_aware_tol0.8_bud08,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
highest_feasible_tol0.8,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol1.0_bud08,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
highest_feasible_tol1.0,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol1.2_bud08,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
highest_feasible_tol1.2,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol1.5_bud08,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
highest_feasible_tol1.5,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol0.8_bud04,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol0.8_bud12,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol1.0_bud04,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
vmaf_aware_tol1.0_bud12,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.0
thresh_cat2.0,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.16
thresh_cat3.0,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.1
thresh_cat4.0,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.05
thresh_cat5.0,80,3533.35,3205.7,3838.27,1021.77,74.22,0.0,0.0,0.0,0.0,0.0,1.0,4.54,0.05
