QoE,VMAF,Rebuffer,Switch,Intervention_Rate,Max_Stall_s,Any_Stall,Chunks,Seen,Method,Video,Episode
3799.702400744834,82.05895833333336,0.215664579453992,10,0.0,0.414,1,48,1,shield_off,bigbuckbunny,0
3479.5971749353776,76.20083333333334,0.08897304721157753,10,0.0,0.171,1,48,1,shield_off,bigbuckbunny,1
3806.8785081573974,82.05895833333336,0.17828902001355829,10,0.0,0.342,1,48,1,shield_off,bigbuckbunny,2
3740.981373911979,81.89520833333337,0.30191992754177976,12,0.0,0.58,1,48,1,shield_off,bigbuckbunny,3
3822.1177246435027,83.13083333333337,0.1193868508150948,14,0.0,0.229,1,48,1,shield_off,bigbuckbunny,4
3425.399999999999,76.25666666666667,0.0,18,0.0,0.0,0,48,1,shield_off,bigbuckbunny,5
3310.648968307228,75.84354166666668,0.879588706733188,10,0.0,1.689,1,48,1,shield_off,bigbuckbunny,6
3583.68,78.40041666666667,0.0,15,0.0,0.0,0,48,1,shield_off,bigbuckbunny,7
3831.8200000000006,83.13083333333337,0.0,16,0.0,0.0,0,48,1,shield_off,bigbuckbunny,8
3644.153644948877,79.72166666666666,0.19399143255792647,14,0.0,0.372,1,48,1,shield_off,bigbuckbunny,9
3282.2151765995195,74.77166666666666,0.4433584552108345,15,0.0,0.851,1,48,1,shield_off,bigbuckbunny,10
3879.9835505499864,84.0947916666667,0.12784609088549265,12,0.0,0.245,1,48,1,shield_off,bigbuckbunny,11
4147.490000000002,87.17645833333337,0.0,4,0.0,0.0,0,48,1,shield_off,bigbuckbunny,12
3390.8708791565205,75.26666666666667,0.3929120877264561,11,0.0,0.754,1,48,1,shield_off,bigbuckbunny,13
4036.55,85.85520833333335,0.0,8,0.0,0.0,0,48,1,shield_off,bigbuckbunny,14
3586.3599999999997,78.89541666666668,0.0,16,0.0,0.0,0,48,1,shield_off,bigbuckbunny,15
4113.190000000002,86.46187500000006,0.0,4,0.0,0.0,0,48,1,shield_off,bigbuckbunny,16
3270.537996872009,74.77166666666666,0.5041770996249489,15,0.0,0.968,1,48,1,shield_off,bigbuckbunny,17
3356.3989202455596,75.26666666666667,0.5724535403877097,11,0.0,1.099,1,48,1,shield_off,bigbuckbunny,18
