Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,QoE_CVaR10,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Rebuf_p95,Rebuf_p99,StallFree_frac,Switch_mean,Interv_rate_pct
shield_off,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
shield_legacy,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.47
vmaf_aware_tol0.8_bud08,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
highest_feasible_tol0.8,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol1.0_bud08,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
highest_feasible_tol1.0,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol1.2_bud08,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
highest_feasible_tol1.2,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol1.5_bud08,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
highest_feasible_tol1.5,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol0.8_bud04,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol0.8_bud12,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol1.0_bud04,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
vmaf_aware_tol1.0_bud12,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.0
thresh_cat2.0,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.47
thresh_cat3.0,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.18
thresh_cat4.0,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.05
thresh_cat5.0,80,2937.63,2592.93,3244.98,176.91,64.87,0.254,0.171,0.352,0.923,1.826,0.425,11.38,0.03
