QoE,VMAF,Rebuffer,Switch,Intervention_Rate,Max_Stall_s,Any_Stall,Chunks,Seen,Method,Video,Episode
2387.2403462497405,82.65812500000001,7.963019029949272,3,0.0,9.327,1,48,1,shield_off,bigbuckbunny,0
3984.7400000000007,83.37270833333335,0.0,1,0.0,0.0,0,48,1,shield_off,bigbuckbunny,1
2668.4928501313934,81.58625,5.872901822232327,7,0.0,8.049,1,48,1,shield_off,bigbuckbunny,2
3933.2900000000004,83.01541666666668,0.0,3,0.0,0.0,0,48,1,shield_off,bigbuckbunny,3
2926.72161912176,82.65812500000001,5.06389781707417,4,0.0,8.388,1,48,1,shield_off,bigbuckbunny,4
3512.9932171999017,82.30083333333334,1.6531082437505107,7,0.0,3.174,1,48,1,shield_off,bigbuckbunny,5
3588.529553955134,81.94354166666668,0.9917210731503445,9,0.0,1.904,1,48,1,shield_off,bigbuckbunny,6
1035.2009817440273,81.22895833333332,14.200984470083192,8,0.0,15.145,1,48,1,shield_off,bigbuckbunny,7
3933.2900000000004,83.01541666666668,0.0,3,0.0,0.0,0,48,1,shield_off,bigbuckbunny,8
3474.0622353596473,82.30083333333334,1.8558737741685052,7,0.0,2.849,1,48,1,shield_off,bigbuckbunny,9
2639.0152068481593,81.94354166666668,6.115754130999173,7,0.0,9.499,1,48,1,shield_off,bigbuckbunny,10
3025.76417015294,81.94354166666668,4.280082447120105,5,0.0,7.833,1,48,1,shield_off,bigbuckbunny,11
1230.1981108536124,80.15708333333333,12.917405672637436,8,0.0,6.549,1,48,1,shield_off,bigbuckbunny,12
3967.59,83.37270833333334,0.0,2,0.0,0.0,0,48,1,shield_off,bigbuckbunny,13
3193.2671002381903,82.65812500000001,3.764963019592762,3,0.0,7.229,1,48,1,shield_off,bigbuckbunny,14
3603.4631616286288,83.01541666666668,1.7178481165175608,3,0.0,3.298,1,48,1,shield_off,bigbuckbunny,15
2331.9569644959315,82.65812500000001,8.072307476583692,5,0.0,15.499,1,48,1,shield_off,bigbuckbunny,16
1464.8197723916733,81.94354166666668,12.231355352126705,7,0.0,11.968,1,48,1,shield_off,bigbuckbunny,17
3933.2900000000004,83.01541666666668,0.0,3,0.0,0.0,0,48,1,shield_off,bigbuckbunny,18
3907.1164214803807,83.01541666666668,0.13632072145635343,3,0.0,0.262,1,48,1,shield_off,bigbuckbunny,19
-577.6585992727037,14.49833333333334,6.335826037878671,5,0.0,8.049,1,48,1,shield_off,crowd_run,0
718.7600000000003,15.212083333333341,0.0,1,0.0,0.0,0,48,1,shield_off,crowd_run,1
170.92745569124878,13.546666666666667,1.9611070016080783,9,0.0,3.765,1,48,1,shield_off,crowd_run,2
604.56,14.26041666666667,0.0,7,0.0,0.0,0,48,1,shield_off,crowd_run,3
-325.0392553152678,14.260416666666671,4.841662788100356,7,0.0,8.451,1,48,1,shield_off,crowd_run,4
312.40236211313515,14.498333333333337,1.5811335306607526,7,0.0,1.804,1,48,1,shield_off,crowd_run,5
185.45044484834202,13.784583333333336,1.825987266414884,11,0.0,3.506,1,48,1,shield_off,crowd_run,6
-1839.0188993738464,13.784583333333332,12.667494267572115,6,0.0,15.635,1,48,1,shield_off,crowd_run,7
