Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,QoE_CVaR10,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Rebuf_p95,Rebuf_p99,StallFree_frac,Switch_mean,Interv_rate_pct
shield_legacy,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,2.37
vmaf_aware_tol0.8_bud08,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
vmaf_aware_tol0.8_bud04,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
highest_feasible_tol0.8,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
vmaf_aware_tol1.0_bud08,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
highest_feasible_tol1.0,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
vmaf_aware_tol1.2_bud08,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
highest_feasible_tol1.2,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
vmaf_aware_tol1.5_bud08,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
highest_feasible_tol1.5,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
thresh_cat2.0,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,2.37
vmaf_aware_tol0.8_bud12,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
vmaf_aware_tol1.0_bud04,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
vmaf_aware_tol1.0_bud12,80,2724.33,2367.99,3056.63,-454.26,66.83,2.093,1.582,2.673,6.949,9.61,0.325,5.61,1.02
thresh_cat3.0,80,2518.93,2171.49,2852.82,-606.68,66.93,3.186,2.489,3.959,9.704,12.375,0.263,5.61,0.99
thresh_cat4.0,80,2353.12,1999.17,2681.52,-741.64,66.98,4.06,3.162,4.982,12.251,15.29,0.263,5.64,0.44
shield_off,80,2286.77,1914.44,2638.95,-1118.96,67.0,4.41,3.421,5.491,12.68,16.836,0.263,5.64,0.0
thresh_cat5.0,80,2286.77,1914.44,2638.95,-1118.96,67.0,4.41,3.421,5.491,12.68,16.836,0.263,5.64,0.03
