QoE,VMAF,Rebuffer,Switch,Intervention_Rate,Max_Stall_s,Any_Stall,Chunks,Seen,Method,Video,Episode
3088.4622929246166,74.08312499999998,0.559258891017615,21,0.0,0.952,1,48,1,shield_off,bigbuckbunny,0
2989.839186447514,68.3664583333333,0.6263063205858549,10,0.0,1.203,1,48,1,shield_off,bigbuckbunny,1
3061.33840033718,74.79770833333332,0.5218833315771814,25,0.0,0.88,1,48,1,shield_off,bigbuckbunny,2
3064.4515693973103,75.51229166666666,0.8629605760556694,23,0.0,1.146,1,48,1,shield_off,bigbuckbunny,3
2667.5530344410286,75.15499999999999,2.5728487789529697,26,0.0,4.94,1,48,1,shield_off,bigbuckbunny,4
3068.199614025709,70.86749999999996,0.30750201028275825,16,0.0,0.59,1,48,1,shield_off,bigbuckbunny,5
2820.890979819365,68.72374999999997,1.4169219801074655,12,0.0,2.72,1,48,1,shield_off,bigbuckbunny,6
2332.7209050845804,73.01124999999998,4.138120286017808,22,0.0,3.331,1,48,1,shield_off,bigbuckbunny,7
3144.3899999999985,74.44041666666665,0.0,25,0.0,0.0,0,48,1,shield_off,bigbuckbunny,8
1545.901703908934,75.15499999999997,8.236136958807634,28,0.0,12.476,1,48,1,shield_off,bigbuckbunny,9
2927.333492675874,71.5820833333333,0.7732109756464804,21,0.0,1.485,1,48,1,shield_off,bigbuckbunny,10
3240.9902198424343,76.94145833333333,0.4794259383206493,21,0.0,0.92,1,48,1,shield_off,bigbuckbunny,11
3658.89,80.87166666666667,0.0,13,0.0,0.0,0,48,1,shield_off,bigbuckbunny,12
2238.574517292994,69.43833333333329,4.539143139098986,13,0.0,8.715,1,48,1,shield_off,bigbuckbunny,13
3641.739999999999,79.08520833333333,0.0,9,0.0,0.0,0,48,1,shield_off,bigbuckbunny,14
2682.9388637494676,72.29666666666664,2.403391334638182,19,0.0,2.972,1,48,1,shield_off,bigbuckbunny,15
3710.34,81.22895833333335,0.0,11,0.0,0.0,0,48,1,shield_off,bigbuckbunny,16
2915.656312948364,71.5820833333333,0.8340296200605948,21,0.0,1.601,1,48,1,shield_off,bigbuckbunny,17
2885.3072252460447,69.08104166666662,1.1707436185101763,12,0.0,2.248,1,48,1,shield_off,bigbuckbunny,18
3727.49,81.58625,0.0,11,0.0,0.0,0,48,1,shield_off,bigbuckbunny,19
119.80932583032379,6.884999999999997,0.2645347613003972,14,0.0,0.441,1,48,1,shield_off,crowd_run,0
159.18000000000006,4.74375,0.0,6,0.0,0.0,0,48,1,shield_off,crowd_run,1
149.3666619282898,7.3608333333333285,0.2295486357901578,14,0.0,0.441,1,48,1,shield_off,crowd_run,2
149.13788059138992,7.836666666666662,0.11178187191984446,18,0.0,0.215,1,48,1,shield_off,crowd_run,3
-32.43284036234529,7.122916666666664,1.1169418768872152,14,0.0,2.145,1,48,1,shield_off,crowd_run,4
124.92000000000003,5.933333333333331,0.0,14,0.0,0.0,0,48,1,shield_off,crowd_run,5
68.2584404879352,4.981666666666667,0.5330289557920043,6,0.0,1.023,1,48,1,shield_off,crowd_run,6
-172.36550216072203,6.171249999999998,1.8457578237537606,10,0.0,2.74,1,48,1,shield_off,crowd_run,7
159.18000000000006,6.884999999999997,0.0,15,0.0,0.0,0,48,1,shield_off,crowd_run,8
-172.5293109349446,7.598749999999989,1.6086943277861703,20,0.0,2.998,1,48,1,shield_off,crowd_run,9
114.9017306746774,5.695416666666666,0.23061598606938877,10,0.0,0.443,1,48,1,shield_off,crowd_run,10
170.6000000000001,7.836666666666659,0.0,18,0.0,0.0,0,48,1,shield_off,crowd_run,11
387.5799999999998,12.119166666666663,0.0,17,0.0,0.0,0,48,1,shield_off,crowd_run,12
-217.09643851716277,4.505833333333334,2.078731450610218,3,0.0,3.991,1,48,1,shield_off,crowd_run,13
456.09999999999945,10.92958333333332,0.0,6,0.0,0.0,0,48,1,shield_off,crowd_run,14
