Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,QoE_CVaR10,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Rebuf_p95,Rebuf_p99,StallFree_frac,Switch_mean,Interv_rate_pct
shield_legacy,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,1.04
vmaf_aware_tol0.8_bud08,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
vmaf_aware_tol0.8_bud04,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
highest_feasible_tol0.8,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
vmaf_aware_tol1.0_bud08,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
highest_feasible_tol1.0,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
vmaf_aware_tol1.2_bud08,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
highest_feasible_tol1.2,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
vmaf_aware_tol1.5_bud08,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
highest_feasible_tol1.5,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
thresh_cat2.0,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,1.04
vmaf_aware_tol0.8_bud12,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
vmaf_aware_tol1.0_bud04,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
vmaf_aware_tol1.0_bud12,80,2480.97,2170.69,2763.1,8.92,59.51,0.722,0.531,0.911,2.48,3.45,0.3,15.46,0.34
thresh_cat3.0,80,2461.68,2152.56,2747.81,-52.86,59.53,0.823,0.604,1.05,2.829,4.333,0.287,15.5,0.42
thresh_cat4.0,80,2442.9,2131.76,2732.05,-52.86,59.54,0.92,0.648,1.227,3.146,5.732,0.287,15.54,0.23
thresh_cat5.0,80,2408.34,2099.68,2697.33,-52.86,59.56,1.1,0.782,1.452,4.171,5.739,0.287,15.6,0.1
shield_off,80,2387.83,2077.72,2682.45,-52.86,59.56,1.205,0.822,1.659,4.566,8.938,0.287,15.62,0.0
