Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,QoE_CVaR10,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Rebuf_p95,Rebuf_p99,StallFree_frac,Switch_mean,Interv_rate_pct
shield_off,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
shield_legacy,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.52
vmaf_aware_tol0.8_bud08,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
highest_feasible_tol0.8,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol1.0_bud08,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
highest_feasible_tol1.0,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol1.2_bud08,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
highest_feasible_tol1.2,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol1.5_bud08,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
highest_feasible_tol1.5,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol0.8_bud04,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol0.8_bud12,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol1.0_bud04,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
vmaf_aware_tol1.0_bud12,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.0
thresh_cat2.0,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.52
thresh_cat3.0,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.18
thresh_cat4.0,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.05
thresh_cat5.0,80,2708.04,2428.97,2965.85,488.51,61.37,0.296,0.207,0.392,1.176,1.665,0.412,6.79,0.03
