metric,desc,target,baseline,n,n_nonzero,mean,median,stat,p,p_holm
QoE,VMAF-aware(0.8) vs legacy,vmaf_aware_tol0.8_bud08,shield_legacy,80,0,0.0,0.0,,1.0,1.0
QoE,VMAF-aware(1.0) vs legacy,vmaf_aware_tol1.0_bud08,shield_legacy,80,0,0.0,0.0,,1.0,1.0
QoE,VMAF-aware vs highest-index (0.8) [isolation],vmaf_aware_tol0.8_bud08,highest_feasible_tol0.8,80,0,0.0,0.0,,1.0,1.0
QoE,VMAF-aware vs highest-index (1.0) [isolation],vmaf_aware_tol1.0_bud08,highest_feasible_tol1.0,80,0,0.0,0.0,,1.0,1.0
QoE,shield-off vs legacy [co-design],shield_off,shield_legacy,80,0,0.0,0.0,,1.0,1.0
Rebuffer,VMAF-aware(0.8) vs legacy,vmaf_aware_tol0.8_bud08,shield_legacy,80,0,0.0,0.0,,1.0,1.0
Rebuffer,VMAF-aware(1.0) vs legacy,vmaf_aware_tol1.0_bud08,shield_legacy,80,0,0.0,0.0,,1.0,1.0
Rebuffer,VMAF-aware vs highest-index (0.8) [isolation],vmaf_aware_tol0.8_bud08,highest_feasible_tol0.8,80,0,0.0,0.0,,1.0,1.0
Rebuffer,VMAF-aware vs highest-index (1.0) [isolation],vmaf_aware_tol1.0_bud08,highest_feasible_tol1.0,80,0,0.0,0.0,,1.0,1.0
Rebuffer,shield-off vs legacy [co-design],shield_off,shield_legacy,80,0,0.0,0.0,,1.0,1.0
VMAF,VMAF-aware(0.8) vs legacy,vmaf_aware_tol0.8_bud08,shield_legacy,80,0,0.0,0.0,,1.0,1.0
VMAF,VMAF-aware(1.0) vs legacy,vmaf_aware_tol1.0_bud08,shield_legacy,80,0,0.0,0.0,,1.0,1.0
VMAF,VMAF-aware vs highest-index (0.8) [isolation],vmaf_aware_tol0.8_bud08,highest_feasible_tol0.8,80,0,0.0,0.0,,1.0,1.0
VMAF,VMAF-aware vs highest-index (1.0) [isolation],vmaf_aware_tol1.0_bud08,highest_feasible_tol1.0,80,0,0.0,0.0,,1.0,1.0
VMAF,shield-off vs legacy [co-design],shield_off,shield_legacy,80,0,0.0,0.0,,1.0,1.0
