episode,chunk,phase,covered,valid,tp_lb_kbps,throughput_kbps,rolling_coverage
0,0,warmup,0,0,0.0,58480.040963157306,nan
0,1,warmup,0,1,46784.03277052584,499.72068877668323,0.0
0,2,warmup,0,1,792.7786896735104,499.72068877668323,0.0
0,3,warmup,0,1,597.113614002473,499.72068877668323,0.0
0,4,warmup,0,1,531.5214246951491,239.49191934798486,0.0
0,5,warmup,1,1,392.3122613244723,30050.922447629615,0.2
0,6,warmup,1,1,391.69080132399426,30050.922447629615,0.3333333333333333
0,7,warmup,1,1,485.18395804286,1040.3261583399806,0.42857142857142855
0,8,warmup,1,1,555.2151164744206,1421.8399207743144,0.5
0,9,warmup,1,1,677.2072873360866,56185.2924593963,0.5555555555555556
0,10,warmup,1,1,2287.147989362383,56185.2924593963,0.6
0,11,warmup,1,1,2307.571055321114,56185.2924593963,0.6363636363636364
0,12,warmup,1,1,2328.362142665102,56185.2924593963,0.6666666666666666
0,13,warmup,0,1,5164.575237225654,2278.0714234267475,0.6153846153846154
0,14,warmup,0,1,7840.665016305331,2278.0714234267475,0.5714285714285714
0,15,warmup,0,1,4294.931413478121,491.6352660141771,0.5333333333333333
0,16,warmup,1,1,1357.0545044201665,32592.00726600531,0.5625
0,17,warmup,0,1,1351.1484826892881,1317.8738577141676,0.5294117647058824
0,18,warmup,1,1,1080.6592903858916,1317.8738577141676,0.5555555555555556
0,19,warmup,1,1,994.7095609813946,1317.8738577141676,0.5789473684210527
0,20,pre,1,1,921.4244961892688,1317.8738577141676,0.6
0,21,pre,1,1,149.3456069756357,1317.8738577141676,0.65
0,22,pre,1,1,120.68425820765161,1317.8738577141676,0.7
0,23,pre,1,1,120.68425820765161,1317.8738577141676,0.75
0,24,pre,1,1,120.68425820765161,1317.8738577141676,0.8
0,25,pre,0,1,120.68425820765161,80.44316802036752,0.75
0,26,pre,1,1,19.73322653254914,71726.89866390642,0.75
0,27,pre,1,1,20.73166037482045,2342.1660909055254,0.75
0,28,shock,1,1,21.209758262402477,702.6498272716576,0.75
0,29,shock,1,1,20.273697877912806,702.6498272716576,0.75
0,30,shock,1,1,29.12986081271657,31.627797318929556,0.75
0,31,shock,1,1,13.11773564445541,17873.573144821497,0.75
0,32,shock,1,1,13.10196796752729,17873.573144821497,0.75
0,33,shock,1,1,13.242554345348358,283.12119892998294,0.8
0,34,shock,1,1,12.481291270019911,11360.226003883286,0.85
0,35,shock,1,1,12.952708952925427,407.079405186914,0.9
0,36,shock,1,1,73.98798290896403,407.079405186914,0.9
0,37,shock,1,1,53.30896631379077,407.079405186914,0.95
0,38,post,1,1,41.664179800553555,1356.9313506230467,0.95
0,39,post,0,1,55.875512635593886,1.6072406069917167,0.9
0,40,post,1,1,0.7264500289721233,66992.44194014536,0.9
0,41,post,1,1,0.7292750660549663,66992.44194014536,0.9
0,42,post,1,1,0.7321221610672864,66992.44194014536,0.9
0,43,post,1,1,0.7349915733645467,1672.8405420132,0.9
0,44,post,1,1,0.7351558080209117,1672.8405420132,0.9
0,45,post,1,1,369.149003188192,1672.8405420132,0.95
0,46,post,1,1,251.1365183971614,1672.8405420132,0.95
0,47,post,1,1,190.29992665269776,2032.2320711056968,0.95
1,0,warmup,0,0,0.0,42689.38312027902,nan
1,1,warmup,1,1,34151.50649622321,42689.38312027902,1.0
1,2,warmup,1,1,34151.50649622321,42689.38312027902,1.0
1,3,warmup,1,1,34151.50649622321,42689.38312027902,1.0
1,4,warmup,1,1,34151.50649622321,42689.38312027902,1.0
1,5,warmup,1,1,34151.50649622322,42689.38312027902,1.0
1,6,warmup,1,1,34151.50649622322,42689.38312027902,1.0
1,7,warmup,1,1,34151.50649622322,42689.38312027902,1.0
1,8,warmup,1,1,34151.50649622322,42689.38312027902,1.0
1,9,warmup,0,1,34151.50649622322,2272.41825965263,0.8888888888888888
1,10,warmup,0,1,7494.005560715439,2272.41825965263,0.8
1,11,warmup,0,1,4208.777455820756,61.566132237674985,0.7272727272727273
1,12,warmup,0,1,232.96900187359267,61.566132237674985,0.6666666666666666
1,13,warmup,1,1,119.80015773558466,1056.8484218902759,0.6923076923076923
1,14,warmup,1,1,116.57823483246123,1056.8484218902759,0.7142857142857143
