arm,episode,rebuffer_total,rebuffer_p95_chunk,rebuffer_p99_chunk,stallfree,vmaf_mean,bitrate_mean_kbps,buffer_mean,interv_rate,conformal_coverage
raw,0,804.4003693055723,53.31746081521779,56.0,0.0,97.71,6000.0,4.02418186956821,0.0,nan
raw,1,1462.539806785505,56.0,57.834196880138066,0.0,98.49,6000.0,4.0,0.0,nan
raw,2,1435.2601456706598,56.0,56.216408572234656,0.0,62.0,6000.0,4.0,0.0,nan
raw,3,550.0483285180449,25.190398232411344,34.80583503264881,0.0,97.14,6000.0,4.0,0.0,nan
raw,4,997.4949599019033,46.717025303840636,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,5,935.6204077844984,48.023564882576466,52.807969141352075,0.0,97.14,6000.0,4.0,0.0,nan
raw,6,1026.235148453784,56.0,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,7,909.9999857760924,41.86605793982744,45.55717145115137,0.0,97.71,6000.0,4.0,0.0,nan
raw,8,301.2091876939743,20.218731000248113,24.362469780277493,0.0,97.14,6000.0,4.256247292156057,0.0,nan
raw,9,949.0778916775618,44.4235812159925,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,10,442.8125634821727,29.27949851666367,44.214235003329684,0.0,62.0,6000.0,4.044574478612497,0.0,nan
raw,11,2678.6099218137024,56.0,57.10859631545006,0.0,97.14,6000.0,4.0,0.0,nan
raw,12,2675.7062143729195,56.0,56.82064314319916,0.0,62.0,6000.0,4.0,0.0,nan
raw,13,1022.0373607412405,40.394633144667495,53.54375982305943,0.0,97.71,6000.0,4.0,0.0,nan
raw,14,710.3881135608871,46.140301643420216,57.07894444547695,0.0,62.0,6000.0,4.002528124395214,0.0,nan
raw,15,1026.2196212417646,56.0,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,16,2660.3304215581493,56.0,57.268430461800044,0.0,62.0,6000.0,4.0,0.0,nan
raw,17,1585.8966910757672,56.0,56.766735267435195,0.0,98.49,6000.0,4.0,0.0,nan
raw,18,1461.4416602658182,56.0,57.25217922470398,0.0,98.49,6000.0,4.0,0.0,nan
raw,19,549.7001054238575,25.190398232411344,34.62127679272956,0.0,97.14,6000.0,4.0,0.0,nan
raw,20,2052.189915035198,56.0,57.47913025229313,0.0,98.49,6000.0,4.0,0.0,nan
raw,21,1379.071956215812,56.0,56.0,0.0,97.71,6000.0,4.0,0.0,nan
raw,22,1054.392090699631,47.02715478867137,56.0,0.0,98.49,6000.0,4.0,0.0,nan
raw,23,1027.8896147150058,55.17056427235237,56.0,0.0,97.14,6000.0,4.0,0.0,nan
raw,24,1027.0914087882256,56.0,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,25,1044.288007989535,51.44594366271975,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,26,320.40235508181445,18.160429050644137,27.89557862355049,0.0,62.0,6000.0,4.398966203783256,0.0,nan
raw,27,996.4149740736963,46.717025303840636,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,28,1071.746436156091,48.10895051841681,55.6422660310501,0.0,62.0,6000.0,4.0,0.0,nan
raw,29,1043.8031864210125,51.44594366271975,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,30,2640.766338795367,56.0,57.8216270952976,0.0,97.14,6000.0,4.0,0.0,nan
raw,31,1425.8150517367103,56.0,56.0,0.0,98.49,6000.0,4.0,0.0,nan
raw,32,974.4042427022633,48.3538626003732,53.79420738839699,0.0,97.14,6000.0,4.0,0.0,nan
raw,33,1043.6780329637986,51.44594366271975,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,34,1640.2740738965415,56.0,57.6415361728278,0.0,62.0,6000.0,4.0,0.0,nan
raw,35,1007.3852699840761,51.795731777549285,56.0,0.0,97.71,6000.0,4.0,0.0,nan
raw,36,2678.0159256447014,56.0,56.793778345879616,0.0,97.14,6000.0,4.0,0.0,nan
raw,37,1029.3817143376823,55.21410126393909,56.0,0.0,97.14,6000.0,4.0,0.0,nan
raw,38,1029.9080587305814,55.39832180145383,56.0,0.0,97.14,6000.0,4.0,0.0,nan
raw,39,992.3602156434199,50.30529202009644,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,40,1034.2423184202623,50.35073719490756,56.0,0.0,97.14,6000.0,4.0,0.0,nan
raw,41,1061.1352353140123,53.39822728431384,56.0,0.0,98.49,6000.0,4.0,0.0,nan
raw,42,1078.646784553837,56.0,57.36182352703665,0.0,98.49,6000.0,4.0,0.0,nan
raw,43,321.6349878682658,18.96164036183751,27.89557862355049,0.0,62.0,6000.0,4.398966203783256,0.0,nan
raw,44,996.2562344770012,41.70520138469074,55.72145206451416,0.0,97.14,6000.0,4.0,0.0,nan
raw,45,1045.104570412905,51.44594366271975,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,46,910.0067039577685,41.86605793982744,45.55717145115137,0.0,97.71,6000.0,4.0,0.0,nan
raw,47,1895.114768626021,56.0,57.29182551186895,0.0,97.71,6000.0,4.0,0.0,nan
raw,48,1025.3952941545833,55.563278059849004,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,49,2643.5864555029675,56.0,57.13020766322315,0.0,98.49,6000.0,4.0,0.0,nan
raw,50,1135.590346458613,47.008467921477184,55.11103788436887,0.0,97.14,6000.0,4.0,0.0,nan
raw,51,970.9469234107296,50.57727472119294,56.0,0.0,97.71,6000.0,4.0,0.0,nan
raw,52,2676.453566206698,56.0,57.216739615101545,0.0,62.0,6000.0,4.0,0.0,nan
raw,53,1035.4313131545446,50.35073719490756,56.0,0.0,97.14,6000.0,4.0,0.0,nan
raw,54,996.3888004539344,41.791369269697384,55.72145206451416,0.0,97.14,6000.0,4.0,0.0,nan
raw,55,1032.6656504064522,43.319901959497535,51.021849574694016,0.0,97.14,6000.0,4.0,0.0,nan
raw,56,1496.3721792417223,56.0,57.6925319375222,0.0,62.0,6000.0,4.0,0.0,nan
raw,57,1503.403118779155,56.0,57.20641079093396,0.0,98.49,6000.0,4.0,0.0,nan
raw,58,1056.2926128910274,48.26249421307908,56.0,0.0,98.49,6000.0,4.0,0.0,nan
raw,59,711.0373164587348,46.140301643420216,57.42302198133629,0.0,62.0,6000.0,4.002528124395214,0.0,nan
raw,60,1619.119195007048,56.0,57.73995604172522,0.0,97.71,6000.0,4.0,0.0,nan
raw,61,1461.2050035813934,56.0,57.126751181958994,0.0,98.49,6000.0,4.0,0.0,nan
raw,62,1513.1271175946888,56.0,56.599769329554285,0.0,98.49,6000.0,4.0,0.0,nan
raw,63,1630.4765662144155,56.0,56.790557070093215,0.0,97.14,6000.0,4.0,0.0,nan
raw,64,2643.8754461926424,56.0,57.283372728750656,0.0,98.49,6000.0,4.0,0.0,nan
raw,65,1680.925710069981,56.0,57.585498331682835,0.0,98.49,6000.0,4.0,0.0,nan
raw,66,720.625039329456,33.71906838408569,56.9766873316283,0.0,98.49,6000.0,4.003842328940569,0.0,nan
raw,67,1424.5818285940898,56.0,56.59258937271107,0.0,97.71,6000.0,4.0,0.0,nan
raw,68,1020.3157444444803,40.394633144667495,53.54375982305943,0.0,97.71,6000.0,4.0,0.0,nan
raw,69,1638.37107597636,56.0,56.63294727513183,0.0,62.0,6000.0,4.0,0.0,nan
raw,70,536.709043039793,24.79891142308695,31.26335843505652,0.0,97.71,6000.0,4.0,0.0,nan
raw,71,2659.253526344071,56.0,56.697675998338575,0.0,62.0,6000.0,4.0,0.0,nan
raw,72,865.5592260819291,51.54270304121351,56.734900110790214,0.0,98.49,6000.0,4.011616047538436,0.0,nan
raw,73,1027.8402679368835,55.17056427235237,56.0,0.0,97.14,6000.0,4.0,0.0,nan
raw,74,1639.787342525938,56.0,57.38356854640791,0.0,62.0,6000.0,4.0,0.0,nan
raw,75,1144.3884047346596,55.004409513137865,56.0,0.0,98.49,6000.0,4.0,0.0,nan
raw,76,1409.002611248967,56.0,57.56547694842981,0.0,97.14,6000.0,4.0,0.0,nan
raw,77,1496.5404144804445,56.0,57.781696614044996,0.0,62.0,6000.0,4.0,0.0,nan
raw,78,1061.7466334557578,53.39822728431384,56.0,0.0,98.49,6000.0,4.0,0.0,nan
raw,79,1424.6322862770853,56.0,56.61933194469878,0.0,97.71,6000.0,4.0,0.0,nan
raw,80,991.4238967753961,50.30529202009644,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,81,709.5271201536069,46.140301643420216,56.62261793961846,0.0,62.0,6000.0,4.002528124395214,0.0,nan
raw,82,1386.2691388869669,56.0,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,83,1434.116945830546,56.0,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,84,1028.5668493651149,52.69618792728924,56.0,0.0,97.71,6000.0,4.0,0.0,nan
raw,85,1044.7171449085972,51.44594366271975,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,86,1045.486617717185,51.44594366271975,56.0,0.0,62.0,6000.0,4.0,0.0,nan
raw,87,1136.1621166690045,47.008467921477184,55.414076095876325,0.0,97.14,6000.0,4.0,0.0,nan
raw,88,1896.0800157904416,56.0,57.80340650901175,0.0,97.71,6000.0,4.0,0.0,nan
raw,89,412.58551942647404,22.03213432529863,42.845974221255425,0.0,97.71,6000.0,4.056395783345786,0.0,nan
