arm,episode,rebuffer_total,rebuffer_p95_chunk,rebuffer_p99_chunk,stallfree,vmaf_mean,bitrate_mean_kbps,buffer_mean,interv_rate,conformal_coverage
raw,0,0.0,0.0,0.0,1.0,86.90458333333333,731.25,11.758042198544326,0.0,nan
raw,1,0.0,0.0,0.0,1.0,85.45625,721.875,11.76480655619613,0.0,nan
raw,2,0.0,0.0,0.0,1.0,14.73625,721.875,11.702292938194034,0.0,nan
raw,3,0.0,0.0,0.0,1.0,82.658125,721.875,11.784371727615067,0.0,nan
raw,4,0.0,0.0,0.0,1.0,14.73625,721.875,11.75520161921123,0.0,nan
raw,5,0.0,0.0,0.0,1.0,82.65812500000001,721.875,11.673527392479066,0.0,nan
raw,6,0.0,0.0,0.0,1.0,14.73625,721.875,11.775561838710038,0.0,nan
raw,7,0.0,0.0,0.0,1.0,86.90458333333333,731.25,11.778507692720567,0.0,nan
raw,8,0.0,0.0,0.0,1.0,82.658125,721.875,11.841821285728207,0.0,nan
raw,9,0.0,0.0,0.0,1.0,14.498333333333335,712.5,11.67282371177717,0.0,nan
raw,10,0.0,0.0,0.0,1.0,14.974166666666667,731.25,11.764007305949837,0.0,nan
raw,11,0.0,0.0,0.0,1.0,82.658125,721.875,11.757559408364136,0.0,nan
raw,12,0.0,0.0,0.0,1.0,14.73625,721.875,11.835876796125426,0.0,nan
raw,13,0.0,0.0,0.0,1.0,86.64187500000001,721.875,11.705441099707258,0.0,nan
raw,14,0.0,0.0,0.0,1.0,14.974166666666667,731.25,11.767987044255323,0.0,nan
raw,15,0.0,0.0,0.0,1.0,14.73625,721.875,11.79010009750849,0.0,nan
raw,16,0.0,0.0,0.0,1.0,14.73625,721.875,11.718745660496248,0.0,nan
raw,17,0.0,0.0,0.0,1.0,85.84750000000001,731.25,11.803085003545272,0.0,nan
raw,18,0.0,0.0,0.0,1.0,85.84750000000001,731.25,11.74285198146135,0.0,nan
raw,19,0.0,0.0,0.0,1.0,82.658125,721.875,11.7986333391383,0.0,nan
raw,20,0.0,0.0,0.0,1.0,85.065,712.5,11.553587160593894,0.0,nan
raw,21,0.0,0.0,0.0,1.0,86.64187500000001,721.875,11.72841895514288,0.0,nan
raw,22,0.0,0.0,0.0,1.0,85.84750000000001,731.25,11.855292858063732,0.0,nan
raw,23,0.0,0.0,0.0,1.0,83.01541666666668,731.25,11.796767934527457,0.0,nan
raw,24,0.0,0.0,0.0,1.0,14.73625,721.875,11.739884324774962,0.0,nan
raw,25,0.0,0.0,0.0,1.0,14.73625,721.875,11.78470040221791,0.0,nan
raw,26,0.0,0.0,0.0,1.0,14.73625,721.875,11.80327639519335,0.0,nan
raw,27,0.0,0.0,0.0,1.0,14.73625,721.875,11.814288042084158,0.0,nan
raw,28,0.0,0.0,0.0,1.0,14.73625,721.875,11.765580860379965,0.0,nan
raw,29,0.0,0.0,0.0,1.0,14.930000000000001,731.25,11.804901300906344,0.0,nan
raw,30,0.0,0.0,0.0,1.0,82.658125,721.875,11.711949587199838,0.0,nan
