QoE,VMAF,Rebuffer,Switch,Intervention_Rate,Chunks,Method,Video,Episode
2155.854272283301,83.714375,135.16421120599549,29,0.0,48,shield_off,bigbuckbunny,0
4629.599999999999,96.79875,0.0,5,0.0,48,shield_off,bigbuckbunny,1
2781.609108375811,87.22625,57.22273396610807,34,0.0,48,shield_off,bigbuckbunny,2
2199.720053024237,84.16083333333333,120.48933466276186,32,0.0,48,shield_off,bigbuckbunny,3
2386.7457938977122,85.54270833333332,132.6337458941724,27,0.0,48,shield_off,bigbuckbunny,4
2873.822843923845,88.08416666666666,81.81288227666602,32,0.0,48,shield_off,bigbuckbunny,5
4629.599999999999,96.79875,0.0,5,0.0,48,shield_off,bigbuckbunny,6
2215.3756549035775,84.13749999999997,118.07586544288058,37,0.0,48,shield_off,bigbuckbunny,7
2033.3341527953037,86.9839583333333,177.6969291672354,32,0.0,48,shield_off,bigbuckbunny,8
4624.709999999999,96.76562499999999,0.0,8,0.0,48,shield_off,bigbuckbunny,9
2958.8391980472506,89.66916666666667,101.73338201947053,23,0.0,48,shield_off,bigbuckbunny,10
4634.49,96.83187500000001,0.0,2,0.0,48,shield_off,bigbuckbunny,11
3336.374959840491,90.908125,81.29421513559923,21,0.0,48,shield_off,bigbuckbunny,12
2821.8464955924746,83.27604166666667,58.916364390446304,26,0.0,48,shield_off,bigbuckbunny,13
4634.49,96.83187500000001,0.0,2,0.0,48,shield_off,bigbuckbunny,14
2742.829444794114,87.70749999999998,109.40050329528657,28,0.0,48,shield_off,bigbuckbunny,15
2915.5900074314395,85.74166666666667,77.14510568902136,22,0.0,48,shield_off,bigbuckbunny,16
3454.0569929117487,91.0075,49.542515393441306,22,0.0,48,shield_off,bigbuckbunny,17
2820.3642013593035,83.27604166666667,59.09590584310755,26,0.0,48,shield_off,bigbuckbunny,18
2799.9174808889034,86.17520833333332,74.73019853574313,28,0.0,48,shield_off,bigbuckbunny,19
-517.4300939308438,23.00604166666665,70.53416835402659,27,0.0,48,shield_off,crowd_run,0
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,1
267.7426286430082,32.90895833333334,35.641638972503856,31,0.0,48,shield_off,crowd_run,2
-652.8506222817734,26.88437499999999,82.8210540554473,31,0.0,48,shield_off,crowd_run,3
-143.40985614173135,27.83020833333333,94.03220156755464,20,0.0,48,shield_off,crowd_run,4
-231.77150188985513,28.982916666666664,58.7320133103022,31,0.0,48,shield_off,crowd_run,5
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,6
-398.7149394979009,25.975416666666657,92.52724557871859,29,0.0,48,shield_off,crowd_run,7
-1003.95928825479,27.958541666666658,161.3165320076053,30,0.0,48,shield_off,crowd_run,8
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,9
430.8100427945129,33.71979166666667,86.86651613438549,16,0.0,48,shield_off,crowd_run,10
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,11
355.40937893672026,35.94916666666668,100.54997832646306,14,0.0,48,shield_off,crowd_run,12
-255.53299843449625,25.183124999999986,67.61664225224034,24,0.0,48,shield_off,crowd_run,13
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,14
-202.1379516567491,27.953541666666656,58.96656391191245,30,0.0,48,shield_off,crowd_run,15
322.1196211677168,29.11666666666665,46.604939296545936,19,0.0,48,shield_off,crowd_run,16
517.2760546467308,33.517500000000005,53.47431508639397,18,0.0,48,shield_off,crowd_run,17
-279.339764095585,24.945208333333323,67.7337408061513,24,0.0,48,shield_off,crowd_run,18
189.4949966949613,28.33104166666666,35.55293160187001,23,0.0,48,shield_off,crowd_run,19
2122.4859210326954,85.1652083333333,149.55596886716378,27,0.0,48,shield_off,tearsofsteel_short,0
4625.299999999999,96.98020833333332,0.0,1,0.0,48,shield_off,tearsofsteel_short,1
2796.2770397134095,87.97791666666662,68.23073646882138,35,0.0,48,shield_off,tearsofsteel_short,2
2714.3291692602047,85.91479166666664,91.27795914968432,27,0.0,48,shield_off,tearsofsteel_short,3
2831.2374119874294,86.65854166666661,85.81184447826654,29,0.0,48,shield_off,tearsofsteel_short,4
2196.516149865899,86.25645833333328,121.11117370810307,36,0.0,48,shield_off,tearsofsteel_short,5
4625.299999999999,96.98020833333332,0.0,1,0.0,48,shield_off,tearsofsteel_short,6
2016.8690143235178,86.55020833333327,149.35816202476755,38,0.0,48,shield_off,tearsofsteel_short,7
1587.9782792521441,85.70874999999994,190.7972045479476,39,0.0,48,shield_off,tearsofsteel_short,8
4661.969999999999,97.38999999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,9
2738.97203790862,89.71166666666663,122.04069308277366,25,0.0,48,shield_off,tearsofsteel_short,10
4661.969999999999,97.38999999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,11
3060.3779762983327,90.75562499999997,105.24612690184905,19,0.0,48,shield_off,tearsofsteel_short,12
2631.5485562788567,84.75541666666662,77.19373107087472,31,0.0,48,shield_off,tearsofsteel_short,13
4661.969999999999,97.38999999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,14
2446.4802268745902,86.63749999999995,121.61334461305826,29,0.0,48,shield_off,tearsofsteel_short,15
3002.351631806247,87.32104166666663,81.3878837443982,23,0.0,48,shield_off,tearsofsteel_short,16
3433.0575816974497,90.71437499999998,53.49714368974657,19,0.0,48,shield_off,tearsofsteel_short,17
2594.902741715405,84.34562499999994,77.19080163330827,30,0.0,48,shield_off,tearsofsteel_short,18
3517.1161030875387,88.74124999999998,50.33114061439687,22,0.0,48,shield_off,tearsofsteel_short,19
2510.764290180038,87.5352083333333,140.66566252664268,27,0.0,48,shield_off,sintel,0
4524.900000000001,95.9414583333333,0.0,37,0.0,48,shield_off,sintel,1
3411.719535611128,90.18062499999998,41.35785663624898,38,0.0,48,shield_off,sintel,2
3103.422200284956,87.86041666666667,76.26911333757789,27,0.0,48,shield_off,sintel,3
3127.412869310265,89.27125000000001,89.49941020951258,32,0.0,48,shield_off,sintel,4
2679.245226674204,90.12187499999999,133.76390180787263,36,0.0,48,shield_off,sintel,5
4523.8,95.91854166666666,0.0,36,0.0,48,shield_off,sintel,6
2682.472903639606,88.57708333333333,122.44756496613292,35,0.0,48,shield_off,sintel,7
2038.68009493862,87.88791666666667,185.54383539987643,34,0.0,48,shield_off,sintel,8
4545.32,96.25833333333333,0.0,40,0.0,48,shield_off,sintel,9
3295.067108201295,92.19916666666661,104.07617390972686,28,0.0,48,shield_off,sintel,10
4548.82,96.23124999999999,0.0,39,0.0,48,shield_off,sintel,11
3149.511808111193,91.37999999999995,110.44915114932252,26,0.0,48,shield_off,sintel,12
2884.568460027734,87.59354166666664,96.48395590749331,32,0.0,48,shield_off,sintel,13
4551.0199999999995,96.25416666666665,0.0,37,0.0,48,shield_off,sintel,14
2854.516639795651,89.28687500000002,112.72690893948027,28,0.0,48,shield_off,sintel,15
3115.564712638014,89.39437499999997,91.62975864365139,29,0.0,48,shield_off,sintel,16
3638.5324156446645,92.18999999999996,58.20707174846592,19,0.0,48,shield_off,sintel,17
2860.6783276846522,87.30374999999998,96.48033821649064,31,0.0,48,shield_off,sintel,18
3628.8833283256363,89.20416666666667,43.295381743503356,23,0.0,48,shield_off,sintel,19
2969.4491670589937,80.75666666666667,30.571806315528832,25,0.3125,48,shield_legacy,bigbuckbunny,0
4595.299999999999,96.44145833333333,0.0,5,0.020833333333333332,48,shield_legacy,bigbuckbunny,1
3124.603750765755,86.55583333333334,18.98694879290755,33,0.08333333333333333,48,shield_legacy,bigbuckbunny,2
3162.7265057345107,82.99666666666666,23.863068588358693,23,0.22916666666666666,48,shield_legacy,bigbuckbunny,3
3341.646777991345,83.37562499999999,26.5677352239165,20,0.1875,48,shield_legacy,bigbuckbunny,4
3420.041003028942,85.85458333333334,11.347988974207574,27,0.10416666666666667,48,shield_legacy,bigbuckbunny,5
4595.299999999999,96.44145833333333,0.0,5,0.020833333333333332,48,shield_legacy,bigbuckbunny,6
2787.6926539239093,81.83041666666664,41.942508003402416,33,0.22916666666666666,48,shield_legacy,bigbuckbunny,7
3122.881315587268,83.84729166666664,53.7183484027049,25,0.2708333333333333,48,shield_legacy,bigbuckbunny,8
4624.709999999999,96.76562499999999,0.0,8,0.0,48,shield_legacy,bigbuckbunny,9
3121.8347370286206,89.03312499999998,78.29278863509916,23,0.10416666666666667,48,shield_legacy,bigbuckbunny,10
4634.49,96.83187500000001,0.0,2,0.0,48,shield_legacy,bigbuckbunny,11
3689.6518929878885,89.56249999999999,23.853937380342902,23,0.14583333333333334,48,shield_legacy,bigbuckbunny,12
3147.014763679538,82.32687499999999,21.415362926412453,26,0.14583333333333334,48,shield_legacy,bigbuckbunny,13
4634.49,96.83187500000001,0.0,2,0.0,48,shield_legacy,bigbuckbunny,14
3373.0252405574297,85.85666666666667,36.349898188295796,23,0.2708333333333333,48,shield_legacy,bigbuckbunny,15
3418.5664306826266,83.11895833333334,6.292825740960955,19,0.14583333333333334,48,shield_legacy,bigbuckbunny,16
3578.28545395811,89.97979166666669,34.04245954964757,20,0.10416666666666667,48,shield_legacy,bigbuckbunny,17
3112.070827384418,81.96958333333332,21.4933590861896,26,0.16666666666666666,48,shield_legacy,bigbuckbunny,18
3434.13731952034,85.39749999999998,13.944123120113819,24,0.125,48,shield_legacy,bigbuckbunny,19
-27.991056886703007,21.31312499999998,21.0938780143778,23,0.1875,48,shield_legacy,crowd_run,0
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_legacy,crowd_run,1
485.9400020148834,32.06250000000001,14.133962934243751,29,0.041666666666666664,48,shield_legacy,crowd_run,2
64.3980060518619,24.344999999999985,10.70881709643145,25,0.10416666666666667,48,shield_legacy,crowd_run,3
332.6240567698736,25.537083333333324,25.904305139307944,19,0.10416666666666667,48,shield_legacy,crowd_run,4
27.65960663169271,27.64395833333333,32.229941057207725,30,0.125,48,shield_legacy,crowd_run,5
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_legacy,crowd_run,6
279.97069113473856,23.850833333333323,17.65495504666442,25,0.20833333333333334,48,shield_legacy,crowd_run,7
4.624162944652255,23.74770833333332,60.29746088364194,20,0.2916666666666667,48,shield_legacy,crowd_run,8
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_legacy,crowd_run,9
536.6438743429485,33.28812500000001,71.53780591776294,16,0.125,48,shield_legacy,crowd_run,10
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_legacy,crowd_run,11
838.271689285017,33.40979166666667,27.299940735826294,14,0.125,48,shield_legacy,crowd_run,12
280.7670372852807,23.675624999999986,16.44173482494172,21,0.08333333333333333,48,shield_legacy,crowd_run,13
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_legacy,crowd_run,14
189.83237784414482,26.506874999999994,12.921223613839045,27,0.10416666666666667,48,shield_legacy,crowd_run,15
477.77629870058615,28.076458333333317,21.70345219227393,19,0.14583333333333334,48,shield_legacy,crowd_run,16
653.5203156761636,32.90895833333334,33.433828043100284,19,0.0625,48,shield_legacy,crowd_run,17
256.960271624192,23.43770833333332,16.55883337885267,21,0.08333333333333333,48,shield_legacy,crowd_run,18
622.0923156761296,27.724166666666648,7.109700136127668,23,0.041666666666666664,48,shield_legacy,crowd_run,19
3108.2384174310755,81.31791666666662,28.964581222010942,21,0.2916666666666667,48,shield_legacy,tearsofsteel_short,0
4625.299999999999,96.98020833333332,0.0,1,0.0,48,shield_legacy,tearsofsteel_short,1
3135.890166684336,87.48374999999994,25.98229570199404,35,0.10416666666666667,48,shield_legacy,tearsofsteel_short,2
