video,chunk,bitrate_kbps,vmaf
bigbuckbunny,0,300,68.49893980208333
bigbuckbunny,1,300,53.313753375
bigbuckbunny,2,300,65.54882734375
bigbuckbunny,3,300,54.55092403125
bigbuckbunny,4,300,52.13739334375
bigbuckbunny,5,300,57.129953968749994
bigbuckbunny,6,300,55.505489697916666
bigbuckbunny,7,300,73.75890894791667
bigbuckbunny,8,300,74.13837691666667
bigbuckbunny,9,300,61.68051086458334
bigbuckbunny,10,300,67.12704364583333
bigbuckbunny,11,300,69.02119057291667
bigbuckbunny,12,300,69.10590973958334
bigbuckbunny,13,300,76.47586960416666
bigbuckbunny,14,300,64.2079574375
bigbuckbunny,15,300,67.69260267708334
bigbuckbunny,16,300,71.77434886458333
bigbuckbunny,17,300,72.06502984375
bigbuckbunny,18,300,67.72653558333333
bigbuckbunny,19,300,67.04026698958333
bigbuckbunny,20,300,68.27766205208333
bigbuckbunny,21,300,74.15389990625
bigbuckbunny,22,300,68.949396625
bigbuckbunny,23,300,66.98547444791667
bigbuckbunny,24,300,71.0366739375
bigbuckbunny,25,300,73.03270484375
bigbuckbunny,26,300,67.92180389583334
bigbuckbunny,27,300,68.30322867708334
bigbuckbunny,28,300,67.77138661458334
bigbuckbunny,29,300,73.42338751041666
bigbuckbunny,30,300,64.04952859375
bigbuckbunny,31,300,68.96678016666668
bigbuckbunny,32,300,68.50703140625001
bigbuckbunny,33,300,62.813280875
bigbuckbunny,34,300,61.92760098958333
bigbuckbunny,35,300,61.54397182291666
bigbuckbunny,36,300,65.36956455208333
bigbuckbunny,37,300,68.42049222916667
bigbuckbunny,38,300,60.4657940625
bigbuckbunny,39,300,64.93462280208333
bigbuckbunny,40,300,65.66866140625
bigbuckbunny,41,300,70.5496308125
bigbuckbunny,42,300,66.68012442708334
bigbuckbunny,43,300,56.23206169791666
bigbuckbunny,44,300,56.05539124999999
bigbuckbunny,45,300,53.9409648125
bigbuckbunny,46,300,56.170328052083335
bigbuckbunny,47,300,65.85372719791667
bigbuckbunny,48,300,73.94271848958334
bigbuckbunny,49,300,72.65034953125
bigbuckbunny,50,300,72.41965043750001
bigbuckbunny,51,300,75.30124361458333
bigbuckbunny,52,300,56.54795644791667
bigbuckbunny,53,300,55.59881678125
bigbuckbunny,54,300,56.604199208333334
bigbuckbunny,55,300,66.15165027083333
bigbuckbunny,56,300,73.4805446875
bigbuckbunny,57,300,73.75117503125
bigbuckbunny,58,300,68.87416415625
bigbuckbunny,59,300,77.80002682291666
bigbuckbunny,60,300,71.62562966666667
bigbuckbunny,61,300,64.82820151041666
bigbuckbunny,62,300,49.181466364583336
bigbuckbunny,63,300,27.825944489583332
bigbuckbunny,64,300,21.81672959375
bigbuckbunny,65,300,23.568750135416668
bigbuckbunny,66,300,37.39034359375
bigbuckbunny,67,300,39.01562494791667
bigbuckbunny,68,300,40.105397385416666
bigbuckbunny,69,300,36.74510003125
bigbuckbunny,70,300,34.86808448958333
bigbuckbunny,71,300,47.07454798958333
bigbuckbunny,72,300,67.66752726041666
bigbuckbunny,73,300,73.80851816666667
bigbuckbunny,0,750,83.49832073958333
bigbuckbunny,1,750,73.80770704166667
bigbuckbunny,2,750,81.61389075
bigbuckbunny,3,750,74.95147894791667
bigbuckbunny,4,750,74.4935284375
bigbuckbunny,5,750,78.46705611458333
bigbuckbunny,6,750,77.93923708333334
bigbuckbunny,7,750,87.21100170833331
bigbuckbunny,8,750,87.90229700000002
bigbuckbunny,9,750,80.87339796875
bigbuckbunny,10,750,84.20570596875
bigbuckbunny,11,750,84.85243719791667
bigbuckbunny,12,750,82.88331490624999
bigbuckbunny,13,750,89.52414190625
bigbuckbunny,14,750,82.496641
bigbuckbunny,15,750,85.12747929166666
bigbuckbunny,16,750,86.30803790625
bigbuckbunny,17,750,87.18436690624999
bigbuckbunny,18,750,83.73580321875
bigbuckbunny,19,750,83.29265589583333
bigbuckbunny,20,750,85.00962039583334
bigbuckbunny,21,750,88.39956427083332
bigbuckbunny,22,750,86.88924545833333
bigbuckbunny,23,750,85.60910884375
bigbuckbunny,24,750,88.39182043750002
bigbuckbunny,25,750,87.91783733333334
bigbuckbunny,26,750,88.9948353125
bigbuckbunny,27,750,84.82152184375
bigbuckbunny,28,750,83.7004451875
bigbuckbunny,29,750,86.99093215625
bigbuckbunny,30,750,84.18407434375
bigbuckbunny,31,750,87.06844941666667
bigbuckbunny,32,750,84.93833476041668
bigbuckbunny,33,750,81.98686076041666
bigbuckbunny,34,750,80.54992989583333
bigbuckbunny,35,750,78.70658497916666
bigbuckbunny,36,750,82.037574625
bigbuckbunny,37,750,82.70367535416666
bigbuckbunny,38,750,78.33184702083334
bigbuckbunny,39,750,84.11562758333334
