episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,bigbuckbunny,23,3553.4172482634526,83.73,61.87097754137845,32.224467469467946,17.150000000000006,1,48
1,bigbuckbunny,26,4261.396529556884,89.10062500000005,0.40096070606577316,0.2088337010759235,23.760000000000005,2,48
2,bigbuckbunny,11,4013.1087079139797,86.75958333333334,18.259999999999998,9.510416666666666,30.370000000000005,3,48
3,bigbuckbunny,8,3784.1351148443896,83.73,30.14254470652192,15.699242034646835,17.150000000000006,1,48
4,bigbuckbunny,5,4157.749569667309,87.72354166666669,1.9022970713887686,0.9907797246816502,76.64,10,48
5,bigbuckbunny,3,3696.071750000001,83.73,42.08333333333334,21.918402777777782,17.150000000000006,1,48
6,bigbuckbunny,8,3784.1351148443896,83.73,30.14254470652192,15.699242034646835,17.150000000000006,1,48
7,bigbuckbunny,19,3965.3599209095178,85.10708333333336,8.483984753133981,4.418742058923949,109.69,15,48
8,bigbuckbunny,11,4013.1087079139797,86.75958333333334,18.259999999999998,9.510416666666666,30.370000000000005,3,48
9,bigbuckbunny,16,4238.160964494258,88.82520833333338,0.8882243986928859,0.46261687431921145,36.980000000000004,4,48
10,bigbuckbunny,18,4284.292021505379,89.51375000000006,0.0,0.0,23.760000000000005,2,48
11,bigbuckbunny,4,3994.619186587375,84.69395833333336,2.3670335985059348,1.232829999221841,103.08,14,48
12,bigbuckbunny,23,3553.4172482634526,83.73,61.87097754137845,32.224467469467946,17.150000000000006,1,48
13,bigbuckbunny,6,3891.875330617141,83.73,15.216019013801434,7.92500990302158,17.150000000000006,1,48
14,bigbuckbunny,10,3824.8484127492125,83.73,24.402635856471225,12.709706175245431,17.150000000000006,1,48
15,bigbuckbunny,14,3556.7672783128105,83.73,61.378115970967414,31.96776873487886,17.150000000000006,1,48
16,bigbuckbunny,0,4153.897861670299,87.58583333333335,1.5195009372543486,0.7914067381533065,76.64,10,48
17,bigbuckbunny,0,4153.897861670299,87.58583333333335,1.5195009372543486,0.7914067381533065,76.64,10,48
18,bigbuckbunny,21,3991.7256895833343,84.69395833333336,2.40625,1.2532552083333335,109.69,15,48
19,bigbuckbunny,24,3885.37641085337,84.96937500000001,19.5128942285463,10.162965744034532,96.47,13,48
