episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,tearsofsteel_short,23,3690.6328867879206,86.63000000000007,61.87097754137845,32.224467469467946,18.78,1,48
1,tearsofsteel_short,26,4383.603951399538,91.65937500000003,0.40096070606577316,0.2088337010759235,24.97,2,48
2,tearsofsteel_short,11,4136.138593913978,89.33812500000005,18.259999999999998,9.510416666666666,31.159999999999997,3,48
3,tearsofsteel_short,8,3921.950420749435,86.63000000000007,30.14254470652192,15.699242034646835,18.78,1,48
4,tearsofsteel_short,5,4279.618616252658,90.24083333333336,1.9022970713887686,0.9907797246816502,74.48999999999998,10,48
5,tearsofsteel_short,3,3833.6613750000006,86.63000000000007,42.08333333333334,21.918402777777782,18.78,1,48
6,tearsofsteel_short,8,3921.950420749435,86.63000000000007,30.14254470652192,15.699242034646835,18.78,1,48
7,tearsofsteel_short,19,4089.9445735976815,87.79062500000009,8.483984753133981,4.418742058923949,117.81999999999996,17,48
8,tearsofsteel_short,11,4136.138593913978,89.33812500000005,18.259999999999998,9.510416666666666,31.159999999999997,3,48
9,tearsofsteel_short,16,4355.429177053123,91.27250000000004,0.8882243986928859,0.46261687431921145,37.349999999999994,4,48
10,tearsofsteel_short,18,4399.057021505378,91.9172916666667,0.0,0.0,24.97,2,48
11,tearsofsteel_short,4,4132.749449652364,87.40375000000007,2.3670335985059348,1.232829999221841,86.86999999999998,12,48
12,tearsofsteel_short,23,3690.6328867879206,86.63000000000007,61.87097754137845,32.224467469467946,18.78,1,48
13,tearsofsteel_short,6,4029.972747857778,86.63000000000007,15.216019013801434,7.92500990302158,18.78,1,48
14,tearsofsteel_short,10,3962.7722029315255,86.63000000000007,24.402635856471225,12.709706175245431,18.78,1,48
15,tearsofsteel_short,14,3693.992231920958,86.63000000000007,61.378115970967414,31.96776873487886,18.78,1,48
16,tearsofsteel_short,0,4276.194143102584,89.9829166666667,1.5195009372543486,0.7914067381533065,62.109999999999985,8,48
17,tearsofsteel_short,0,4276.194143102584,89.9829166666667,1.5195009372543486,0.7914067381533065,62.109999999999985,8,48
18,tearsofsteel_short,21,4130.0652114583345,87.40375000000007,2.40625,1.2532552083333335,93.05999999999997,13,48
19,tearsofsteel_short,24,4041.4775446834683,87.79062500000005,17.69602395326523,9.21667914232564,80.67999999999998,11,48
