QoE,VMAF,Rebuffer,Switch,Intervention_Rate,Chunks,Method,Video,Episode
1988.2705441343774,82.73833333333334,138.22304455736705,36,0.0,48,shield_off,bigbuckbunny,0
4634.49,96.83187500000001,0.0,2,0.0,48,shield_off,bigbuckbunny,1
3095.5073308642527,88.47916666666667,54.01558492438795,35,0.0,48,shield_off,bigbuckbunny,2
2354.7899165593794,84.79562499999999,98.01599847875727,34,0.0,48,shield_off,bigbuckbunny,3
2719.371599962551,85.58812499999999,88.05455426810177,31,0.0,48,shield_off,bigbuckbunny,4
2903.970647609246,87.774375,80.85626845818233,30,0.0,48,shield_off,bigbuckbunny,5
4634.49,96.83187500000001,0.0,2,0.0,48,shield_off,bigbuckbunny,6
2264.522213732651,83.92291666666665,109.62788108858386,38,0.0,48,shield_off,bigbuckbunny,7
2031.3548014425253,86.99020833333331,177.4376451741126,33,0.0,48,shield_off,bigbuckbunny,8
4624.709999999999,96.76562499999999,0.0,8,0.0,48,shield_off,bigbuckbunny,9
3016.568692057577,89.63541666666667,101.15568167907247,25,0.0,48,shield_off,bigbuckbunny,10
4634.49,96.83187500000001,0.0,2,0.0,48,shield_off,bigbuckbunny,11
3121.6838431796987,90.58958333333335,97.19551318075345,23,0.0,48,shield_off,bigbuckbunny,12
3196.4445895035014,83.28645833333331,42.40981231788968,22,0.0,48,shield_off,bigbuckbunny,13
4634.49,96.83187500000001,0.0,2,0.0,48,shield_off,bigbuckbunny,14
2188.9031247229454,84.4064583333333,119.52239283879054,37,0.0,48,shield_off,bigbuckbunny,15
2917.6102036258435,85.82083333333334,69.95758192516419,26,0.0,48,shield_off,bigbuckbunny,16
3466.935547898073,90.729375,54.21081057436117,22,0.0,48,shield_off,bigbuckbunny,17
3197.1191078733273,83.28583333333331,42.33174565487787,21,0.0,48,shield_off,bigbuckbunny,18
2842.7497861825304,84.72687499999999,57.86582047207719,31,0.0,48,shield_off,bigbuckbunny,19
-722.1734191288879,23.215624999999985,102.33447421619279,26,0.0,48,shield_off,crowd_run,0
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,1
-54.902470919534125,29.523124999999983,31.235764404013345,33,0.0,48,shield_off,crowd_run,2
-540.8774856578581,26.16249999999999,86.70633304964363,30,0.0,48,shield_off,crowd_run,3
-504.6429513648925,27.722499999999993,99.22152996183287,26,0.0,48,shield_off,crowd_run,4
-729.7333977731058,28.322708333333324,96.95777589306029,34,0.0,48,shield_off,crowd_run,5
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,6
-1011.3278854673354,25.42937499999999,99.48012178625665,35,0.0,48,shield_off,crowd_run,7
-1363.9998202246466,28.65562499999999,180.79576310860546,32,0.0,48,shield_off,crowd_run,8
2026.9600000000012,43.5672916666667,0.0,3,0.0,48,shield_off,crowd_run,9
2.4912166153712283,31.689791666666668,100.27964915026992,20,0.0,48,shield_off,crowd_run,10
2085.260000000001,44.05145833333336,0.0,1,0.0,48,shield_off,crowd_run,11
495.5140845878459,33.29541666666667,62.61699556833257,18,0.0,48,shield_off,crowd_run,12
-250.96613997160122,25.183124999999986,57.22094718648272,26,0.0,48,shield_off,crowd_run,13
2062.4200000000014,43.81354166666669,0.0,1,0.0,48,shield_off,crowd_run,14
-146.5033030670723,28.131666666666657,78.05272566219385,26,0.0,48,shield_off,crowd_run,15
42.52702252747082,26.49958333333333,53.98049630238969,22,0.0,48,shield_off,crowd_run,16
694.2704991270966,33.305000000000014,35.81994923363649,19,0.0,48,shield_off,crowd_run,17
-274.9014411940728,24.945208333333323,57.3536144857162,26,0.0,48,shield_off,crowd_run,18
265.7571731634331,26.38166666666665,29.84409239784,25,0.0,48,shield_off,crowd_run,19
2252.6309748202934,84.95520833333329,127.42357378630167,29,0.0,48,shield_off,tearsofsteel_short,0
4624.41,96.99874999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,1
2738.1683904680826,88.13437499999996,69.4030534801255,35,0.0,48,shield_off,tearsofsteel_short,2
2556.82094586724,85.79937499999994,95.48680403739807,29,0.0,48,shield_off,tearsofsteel_short,3
2593.471059102216,86.82270833333327,108.35864109711515,31,0.0,48,shield_off,tearsofsteel_short,4
2085.7542551799397,86.29354166666661,134.31150009932884,37,0.0,48,shield_off,tearsofsteel_short,5
4661.969999999999,97.38999999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,6
1815.8448844672184,85.11687499999995,152.5890401565869,38,0.0,48,shield_off,tearsofsteel_short,7
1943.3650980772074,87.20291666666662,174.3477352135165,34,0.0,48,shield_off,tearsofsteel_short,8
4656.04,97.37354166666665,0.0,5,0.0,48,shield_off,tearsofsteel_short,9
3247.8930721288084,91.70937499999997,101.27143021695615,19,0.0,48,shield_off,tearsofsteel_short,10
4661.969999999999,97.38999999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,11
3233.7580099634947,91.3033333333333,93.79869065364645,21,0.0,48,shield_off,tearsofsteel_short,12
2863.3624394480576,84.72041666666662,62.9187936715044,30,0.0,48,shield_off,tearsofsteel_short,13
4661.969999999999,97.38999999999999,0.0,2,0.0,48,shield_off,tearsofsteel_short,14
2670.9722354562887,88.26833333333327,117.91033969763936,27,0.0,48,shield_off,tearsofsteel_short,15
2859.8453388285225,87.37458333333329,86.60545799073117,28,0.0,48,shield_off,tearsofsteel_short,16
3367.574967363326,90.59499999999997,54.533070813550424,23,0.0,48,shield_off,tearsofsteel_short,17
2824.911129811139,84.32916666666662,63.02675268760406,30,0.0,48,shield_off,tearsofsteel_short,18
2854.3917187040884,87.4870833333333,75.39465616471777,30,0.0,48,shield_off,tearsofsteel_short,19
2429.61402367437,87.60937499999999,148.70348550455793,34,0.0,48,shield_off,sintel,0
4554.72,96.20416666666665,0.0,34,0.0,48,shield_off,sintel,1
3346.0189215757578,90.55333333333333,53.7549755843315,38,0.0,48,shield_off,sintel,2
2817.2687765745163,87.438125,88.18328772110976,31,0.0,48,shield_off,sintel,3
3200.6084117133105,89.05624999999999,84.71797338743818,31,0.0,48,shield_off,sintel,4
2820.270757707319,89.98062499999997,121.09123574281506,32,0.0,48,shield_off,sintel,5
4554.72,96.20416666666665,0.0,34,0.0,48,shield_off,sintel,6
2348.9936577676053,88.15166666666666,145.1921441657455,41,0.0,48,shield_off,sintel,7
2160.2859924642394,88.12770833333332,173.50460362593992,37,0.0,48,shield_off,sintel,8
4548.82,96.23125,0.0,37,0.0,48,shield_off,sintel,9
3252.614686216363,92.65479166666661,113.6743354873591,31,0.0,48,shield_off,sintel,10
4551.0199999999995,96.25416666666665,0.0,36,0.0,48,shield_off,sintel,11
3364.259184821292,92.85416666666663,103.80460455168475,29,0.0,48,shield_off,sintel,12
3406.239640005258,87.03958333333331,50.147814921843825,25,0.0,48,shield_off,sintel,13
4547.52,96.28124999999999,0.0,39,0.0,48,shield_off,sintel,14
2901.020533573279,87.82645833333338,89.40400513889553,35,0.0,48,shield_off,sintel,15
3300.742753150088,89.78104166666662,78.04351342658822,28,0.0,48,shield_off,sintel,16
3735.490506403133,92.68937499999994,54.864279747682296,24,0.0,48,shield_off,sintel,17
3404.757345772086,87.03958333333331,50.32735637450509,25,0.0,48,shield_off,sintel,18
3517.8889395502465,88.79020833333334,40.16970208935966,27,0.0,48,shield_off,sintel,19
2803.723868858275,79.20645833333334,25.92007402394922,30,0.3125,48,shield_legacy,bigbuckbunny,0
4600.19,96.47458333333333,0.0,2,0.020833333333333332,48,shield_legacy,bigbuckbunny,1
3386.529796017281,87.80874999999999,22.07487935837192,34,0.08333333333333333,48,shield_legacy,bigbuckbunny,2
3161.3134227711166,83.10187499999998,22.637666815513928,26,0.1875,48,shield_legacy,bigbuckbunny,3
3259.436126566261,84.36895833333331,28.293831569009004,25,0.20833333333333334,48,shield_legacy,bigbuckbunny,4
3438.779880426874,85.57583333333334,10.698900142093603,26,0.125,48,shield_legacy,bigbuckbunny,5
4600.19,96.47458333333333,0.0,2,0.020833333333333332,48,shield_legacy,bigbuckbunny,6
2969.649339302239,81.93374999999997,20.47246374730629,35,0.3125,48,shield_legacy,bigbuckbunny,7
