Method,Metric,Mean,CI95_lo,CI95_hi,n_episodes
Ablation_Base,QoE,3260.54216836524,2931.171570649156,3557.0372989382954,80
Ablation_Base,Rebuffer,31.457253104985547,26.049339695752046,37.138427878816124,80
Ablation_Base,Switch,1.8875,1.5375,2.2375,80
Ablation_Base,VMAF,73.5811328125,67.31610996093751,79.34771048177086,80
Ablation_Future,QoE,3224.582511292444,2879.366595634581,3545.112312101033,80
Ablation_Future,Rebuffer,12.574202241709916,9.754721896287494,15.523618598543733,80
Ablation_Future,Switch,12.7625,11.3875,14.175312500000002,80
Ablation_Future,VMAF,72.01116406250001,65.427916015625,78.15937604166669,80
Ablation_Lyap,QoE,3264.2688599064077,2928.756644839477,3582.791609004571,80
Ablation_Lyap,Rebuffer,11.625849696413875,8.913766492994338,14.477963245410098,80
Ablation_Lyap,Switch,2.2875,1.625,3.0128125000000012,80
Ablation_Lyap,VMAF,70.27106510416668,63.29150944010418,76.69752584635417,80
BBA,QoE,3054.247777209452,2718.1874959786514,3372.755426697509,80
BBA,Rebuffer,27.922098811839724,24.402353368422425,31.5101565741906,80
BBA,Switch,25.6375,24.2625,27.025,80
BBA,VMAF,72.89272135416668,66.32865807291668,79.18552688802085,80
Fugu,QoE,3259.4516345960246,2924.106498022333,3558.4787973502484,80
Fugu,Rebuffer,20.12280346462889,17.715728463091722,22.585043790893163,80
Fugu,Switch,14.9125,13.5871875,16.15,80
Fugu,VMAF,74.0471510416667,67.435560546875,79.95309147135418,80
Genie,QoE,3364.768533681643,3042.5123919490793,3663.192940625489,80
Genie,Rebuffer,8.279020266273989,5.97599945422505,10.891705241528788,80
Genie,Switch,3.6625,3.2621875000000005,4.0875,80
Genie,VMAF,72.14632812500001,65.7459349609375,78.27019537760417,80
Pensieve,QoE,3268.8384842076116,2930.5707242966164,3573.1903415209767,80
Pensieve,Rebuffer,14.992280255861038,12.202063818597408,17.761920988764693,80
Pensieve,Switch,6.4125,5.55,7.25,80
Pensieve,VMAF,71.59279166666667,65.10414694010417,77.90454225260417,80
Proposed,QoE,3269.5623983971573,2944.8900274087864,3568.6200198986453,80
Proposed,Rebuffer,14.730481056546058,11.979646908027883,17.814296786127322,80
Proposed,Switch,6.525,5.7375,7.3125,80
Proposed,VMAF,71.65459895833337,64.80011529947919,78.07128378906252,80
Proposed_Shielded,QoE,3217.75666706814,2888.7211763240293,3529.0175821405137,80
Proposed_Shielded,Rebuffer,1.4454436690722507,1.0588363751797016,1.8620702213149216,80
Proposed_Shielded,Switch,5.2125,4.475,6.0,80
Proposed_Shielded,VMAF,68.4735234375,61.78880319010417,74.90651041666666,80
Proposed_ShieldedQoE,QoE,3224.160155103226,2896.145574673667,3536.066117800692,80
Proposed_ShieldedQoE,Rebuffer,1.4468077636597314,1.0570367745250053,1.8801749213819594,80
Proposed_ShieldedQoE,Switch,9.95,8.6625,11.325,80
Proposed_ShieldedQoE,VMAF,68.73811458333334,61.81954973958335,75.13641432291668,80
Proposed_ShieldedRiskGate,QoE,3224.763778634574,2879.514075133205,3535.700464374538,80
Proposed_ShieldedRiskGate,Rebuffer,1.2041056644169785,0.8642071214006396,1.566865355651063,80
Proposed_ShieldedRiskGate,Switch,6.2625,5.2,7.45,80
Proposed_ShieldedRiskGate,VMAF,68.60740885416666,62.08508509114584,74.87774524739584,80
RobustMPC,QoE,3274.5348503948453,2952.6440561376266,3576.7754924296596,80
RobustMPC,Rebuffer,30.69557286884155,27.278567174971716,34.19973124494998,80
RobustMPC,Switch,8.375,7.7375,9.0625,80
RobustMPC,VMAF,74.65492187500001,68.5159535807292,80.49743274739585,80
