Method,Baseline,Metric,n_pairs,median_delta,statistic,p_value
Fugu,Pensieve,QoE,80,-18.652982334961962,1195.0,0.04150774232258947
BBA,Pensieve,QoE,80,-207.22152302541667,1.0,8.151640779241876e-15
Proposed,Pensieve,QoE,80,6.003206800865655,1349.0,0.25893450849520705
Proposed_Shielded,Pensieve,QoE,80,-59.38702917909677,311.0,3.4216735520580184e-10
Proposed_ShieldedRiskGate,Pensieve,QoE,80,-42.58269059189115,586.0,7.072285180951221e-07
Proposed_ShieldedQoE,Pensieve,QoE,80,-35.26517790521393,483.0,4.9417347546618425e-08
Ablation_Base,Pensieve,QoE,80,-14.308602141960364,1191.0,0.1590586430124573
Ablation_Future,Pensieve,QoE,80,-16.777064984099297,930.0,0.000934818246174431
Ablation_Lyap,Pensieve,QoE,80,3.150383456417103,1226.0,0.7657402083830183
Fugu,RobustMPC,QoE,80,-11.145356486088417,1073.0,0.008701379399100687
BBA,RobustMPC,QoE,80,-213.61627140561882,0.0,7.84606578244351e-15
Proposed,RobustMPC,QoE,80,8.550638353242448,1299.0,0.1236558882307725
Proposed_Shielded,RobustMPC,QoE,80,-55.6858977889089,356.0,1.3401596445882287e-09
Proposed_ShieldedRiskGate,RobustMPC,QoE,80,-37.85163938616597,585.0,6.89949504561279e-07
Proposed_ShieldedQoE,RobustMPC,QoE,80,-40.90914502049969,685.0,7.307312105499435e-06
Ablation_Base,RobustMPC,QoE,80,-8.557737907243336,1363.0,0.21770529231376756
Ablation_Future,RobustMPC,QoE,80,-13.81690410672536,858.0,0.0002573907085899779
Ablation_Lyap,RobustMPC,QoE,80,15.953854114681462,1551.0,0.7406847678795707
Fugu,Genie,QoE,80,-107.1496382362775,0.0,7.849526548031477e-15
BBA,Genie,QoE,80,-299.9815976114219,0.0,7.846757821373927e-15
Proposed,Genie,QoE,80,-75.25035596224575,0.0,7.84606578244351e-15
Proposed_Shielded,Genie,QoE,80,-140.31433907147067,0.0,7.848142070506759e-15
Proposed_ShieldedRiskGate,Genie,QoE,80,-134.93058502497547,0.0,7.848142070506759e-15
Proposed_ShieldedQoE,Genie,QoE,80,-120.14485581675035,0.0,7.846757821373927e-15
Ablation_Base,Genie,QoE,80,-93.85240677999218,8.0,1.0613508952753982e-14
Ablation_Future,Genie,QoE,80,-96.1756247970252,0.0,7.84606578244351e-15
Ablation_Lyap,Genie,QoE,80,-76.77229604851823,0.0,7.844681875832857e-15
Fugu,Pensieve,Rebuffer,80,3.673281014084431,860.0,0.0002672065149855029
BBA,Pensieve,Rebuffer,80,12.175892889397518,12.0,1.2342312119432017e-14
Proposed,Pensieve,Rebuffer,80,-0.10804721748516877,1166.0,0.3104373182727157
Proposed_Shielded,Pensieve,Rebuffer,80,-10.250101332658314,6.0,4.578197557635928e-14
Proposed_ShieldedRiskGate,Pensieve,Rebuffer,80,-10.392631236019696,4.0,4.2283609750480914e-14
Proposed_ShieldedQoE,Pensieve,Rebuffer,80,-10.726980217873296,10.0,7.898446188881739e-14
Ablation_Base,Pensieve,Rebuffer,80,8.846942936533225,78.0,2.640258014202927e-12
Ablation_Future,Pensieve,Rebuffer,80,-0.6611847992804923,915.0,0.0045512626650916245
Ablation_Lyap,Pensieve,Rebuffer,80,-2.4591151621956033,39.0,9.564662382063406e-12
Fugu,RobustMPC,Rebuffer,80,-9.534651179089485,44.0,4.063403741222441e-14
BBA,RobustMPC,Rebuffer,80,0.24384533055765267,1607.0,0.950282017300663
Proposed,RobustMPC,Rebuffer,80,-11.107802588393756,157.0,2.2670151989211014e-12
Proposed_Shielded,RobustMPC,Rebuffer,80,-29.859290154551374,0.0,7.846757821373927e-15
Proposed_ShieldedRiskGate,RobustMPC,Rebuffer,80,-29.859290154551374,0.0,7.846757821373927e-15
Proposed_ShieldedQoE,RobustMPC,Rebuffer,80,-30.231264620729974,0.0,7.847449917393515e-15
Ablation_Base,RobustMPC,Rebuffer,80,-2.7074873777889747,1564.0,0.788242416689116
Ablation_Future,RobustMPC,Rebuffer,80,-11.086013060029549,149.0,1.7213086666294014e-12
Ablation_Lyap,RobustMPC,Rebuffer,80,-15.316713079612423,65.0,8.7651967239695e-14
Fugu,Genie,Rebuffer,80,11.862950738850262,127.0,8.017437900496021e-13
BBA,Genie,Rebuffer,80,20.635112428741536,217.0,1.7051834150701526e-11
Proposed,Genie,Rebuffer,80,3.500322806734343,526.0,1.2271939584904943e-06
Proposed_Shielded,Genie,Rebuffer,80,-1.6092564031297671,294.0,5.348351966538773e-10
Proposed_ShieldedRiskGate,Genie,Rebuffer,80,-2.50740354853462,306.0,7.807802533309445e-10
Proposed_ShieldedQoE,Genie,Rebuffer,80,-1.9641678531625746,343.0,2.454302216528056e-09
Ablation_Base,Genie,Rebuffer,80,15.807594782433634,206.0,1.218139281505273e-10
Ablation_Future,Genie,Rebuffer,80,2.2308110273676225,698.0,0.00012354740703418706
Ablation_Lyap,Genie,Rebuffer,80,0.0,983.0,0.02932002970190416
