update,Full,No Content,No VMAF,Pensieve-Like
0,-2373.32,-2373.32,-2228.04,-2228.04
1,-4493.93,-4493.93,-4287.53,-4287.53
2,-1565.56,-1565.56,-1426.88,-1426.88
3,-1542.12,-1542.12,-1411.93,-1411.93
4,-824.82,-824.82,-722.64,-722.64
5,-1352.15,-1352.15,-1216.29,-1216.29
6,-1510.2,-1510.2,-1401.38,-1401.38
7,-1453.77,-1453.77,-1333.07,-1333.07
8,-1784.65,-1784.65,-1664.21,-1664.21
9,-916.31,-916.31,-782.93,-782.93
10,-1208.97,-1208.97,-1080.32,-1080.32
11,-1170.36,-1170.36,-1062.11,-1062.11
12,-1248.01,-1248.01,-1150.11,-1150.11
13,-1235.79,-1235.79,-1135.95,-1135.95
14,-1083.25,-1083.25,-999.13,-999.13
15,-1326.94,-1326.94,-1239.99,-1239.99
16,-660.26,-660.26,-580.18,-580.18
17,-923.11,-923.11,-848.35,-848.35
18,-1207.35,-1207.35,-1126.72,-1126.72
19,-601.6,-601.6,-532.6,-532.6
20,-1270.3,-1270.3,-1192.86,-1192.86
21,-1056.41,-1056.41,-985.76,-985.76
22,-467.3,-467.3,-392.56,-392.56
23,-1358.21,-1358.21,-1284.22,-1284.22
24,-640.1,-640.1,-554.75,-554.75
25,-1120.89,-1120.89,-1044.64,-1044.64
26,-1433.36,-1433.36,-1354.18,-1354.18
27,-750.56,-750.56,-678.49,-678.49
28,-959.22,-959.22,-887.22,-887.22
29,-808.25,-808.25,-734.59,-734.59
30,-982.19,-982.19,-908.15,-908.15
31,-705.01,-705.01,-635.5,-635.5
32,-1150.93,-1150.93,-1088.85,-1088.85
33,-526.23,-526.23,-470.59,-470.59
34,-732.15,-732.15,-676.86,-676.86
35,-645.92,-645.92,-585.01,-585.01
36,-754.43,-754.43,-697.04,-697.04
37,-542.49,-542.49,-486.78,-486.78
38,-897.73,-897.73,-841.33,-841.33
39,-683.44,-683.44,-621.88,-621.88
40,-475.39,-475.39,-418.71,-418.71
41,-834.03,-834.03,-769.4,-769.4
42,-493.98,-493.98,-439.69,-439.69
43,-1191.08,-1191.08,-1113.39,-1113.39
44,-636.24,-636.24,-579.93,-579.93
45,-655.89,-655.89,-601.59,-601.59
46,-363.34,-363.34,-308.8,-308.8
47,-745.37,-745.37,-689.95,-689.95
48,-577.1,-577.1,-520.2,-520.2
49,-1262.83,-1262.83,-1194.75,-1194.75
50,-942.05,-942.05,-890.31,-890.31
51,-761.34,-761.34,-705.35,-705.35
52,-1036.1,-1036.1,-975.95,-975.95
53,-458.89,-458.89,-411.37,-411.37
54,-295.35,-295.35,-249.18,-249.18
55,-353.23,-353.23,-303.84,-303.84
56,-267.8,-267.8,-220.54,-220.54
57,-434.33,-434.33,-390.15,-390.15
58,-362.17,-362.17,-317.23,-317.23
59,-256.11,-256.11,-211.05,-211.05
60,-298.25,-298.25,-256.11,-256.11
61,-486.14,-486.14,-442.7,-442.7
62,-782.34,-782.34,-736.31,-736.31
63,-201.04,-201.04,-161.3,-161.3
64,-170.76,-170.76,-134.4,-134.4
65,-285.85,-285.85,-248.82,-248.82
66,-299.17,-299.17,-262.24,-262.24
67,-148.28,-148.28,-110.91,-110.91
68,-414.65,-414.65,-376.41,-376.41
69,-181.54,-181.54,-144.43,-144.43
70,-102.9,-102.9,-65.08,-65.08
71,-157.77,-157.77,-120.5,-120.5
72,-122.46,-122.46,-86.64,-86.64
73,-40.08,-40.08,-2.2,-2.2
74,-86.32,-86.32,-49.69,-49.69
75,-95.42,-95.42,-62.24,-62.24
76,-29.72,-29.72,3.72,3.72
77,-113.46,-113.46,-79.71,-79.71
78,-34.15,-34.15,-1.62,-1.62
79,-325.84,-325.84,-291.69,-291.69
80,-26.44,-26.44,7.85,7.85
81,-92.46,-92.46,-58.22,-58.22
82,-23.76,-23.76,10.53,10.53
83,-30.49,-30.49,2.05,2.05
84,-135.65,-135.65,-106.44,-106.44
85,-54.35,-54.35,-22.62,-22.62
86,-120.93,-120.93,-92.45,-92.45
87,-25.19,-25.19,8.69,8.69
88,-280.27,-280.27,-247.01,-247.01
89,-22.23,-22.23,13.77,13.77
90,-41.08,-41.08,-5.93,-5.93
91,-56.64,-56.64,-21.59,-21.59
92,-47.01,-47.01,-11.96,-11.96
93,-143.29,-143.29,-109.74,-109.74
94,-281.33,-281.33,-247.59,-247.59
95,-77.64,-77.64,-45.64,-45.64
96,-152.1,-152.1,-117.96,-117.96
97,-66.64,-66.64,-33.48,-33.48
98,-122.86,-122.86,-88.94,-88.94
99,-204.74,-204.74,-172.18,-172.18
100,-22.23,-22.23,13.77,13.77
