
🧠 Using device: cpu

📊 Loading traces...
📊 FCC Traces Loaded:
   Train: 184
   Val: 40
   Test: 40
✅ Loaded 264 FCC traces into memory
✅ Reward type: VMAF-Based

✓ Loaded 127 traces
  Train: 88
  Val:   19
  Test:  20
✓ Loaded 127 traces
  Train: 88
  Val:   19
  Test:  20
📊 Logging to: results/logs/ablation_no_content.jsonl

🚀 Starting training (Ablation Mode)

Update 001 | Val Reward: -2373.32 | Best: -2373.32
Update 002 | Val Reward: -4493.93 | Best: -2373.32
Update 003 | Val Reward: -1565.56 | Best: -1565.56
Update 004 | Val Reward: -1542.12 | Best: -1542.12
Update 005 | Val Reward: -824.82 | Best: -824.82
Update 006 | Val Reward: -1352.15 | Best: -824.82
Update 007 | Val Reward: -1510.20 | Best: -824.82
Update 008 | Val Reward: -1453.77 | Best: -824.82
Update 009 | Val Reward: -1784.65 | Best: -824.82
Update 010 | Val Reward: -916.31 | Best: -824.82
Update 011 | Val Reward: -1208.97 | Best: -824.82
Update 012 | Val Reward: -1170.36 | Best: -824.82
Update 013 | Val Reward: -1248.01 | Best: -824.82
Update 014 | Val Reward: -1235.79 | Best: -824.82
Update 015 | Val Reward: -1083.25 | Best: -824.82
Update 016 | Val Reward: -1326.94 | Best: -824.82
Update 017 | Val Reward: -660.26 | Best: -660.26
Update 018 | Val Reward: -923.11 | Best: -660.26
Update 019 | Val Reward: -1207.35 | Best: -660.26
Update 020 | Val Reward: -601.60 | Best: -601.60
Update 021 | Val Reward: -1270.30 | Best: -601.60
Update 022 | Val Reward: -1056.41 | Best: -601.60
Update 023 | Val Reward: -467.30 | Best: -467.30
Update 024 | Val Reward: -1358.21 | Best: -467.30
Update 025 | Val Reward: -640.10 | Best: -467.30
Update 026 | Val Reward: -1120.89 | Best: -467.30
Update 027 | Val Reward: -1433.36 | Best: -467.30
Update 028 | Val Reward: -750.56 | Best: -467.30
Update 029 | Val Reward: -959.22 | Best: -467.30
Update 030 | Val Reward: -808.25 | Best: -467.30
Update 031 | Val Reward: -982.19 | Best: -467.30
Update 032 | Val Reward: -705.01 | Best: -467.30
Update 033 | Val Reward: -1150.93 | Best: -467.30
Update 034 | Val Reward: -526.23 | Best: -467.30
Update 035 | Val Reward: -732.15 | Best: -467.30
Update 036 | Val Reward: -645.92 | Best: -467.30
Update 037 | Val Reward: -754.43 | Best: -467.30
Update 038 | Val Reward: -542.49 | Best: -467.30
Update 039 | Val Reward: -897.73 | Best: -467.30
Update 040 | Val Reward: -683.44 | Best: -467.30
Update 041 | Val Reward: -475.39 | Best: -467.30
Update 042 | Val Reward: -834.03 | Best: -467.30
Update 043 | Val Reward: -493.98 | Best: -467.30
Update 044 | Val Reward: -1191.08 | Best: -467.30
Update 045 | Val Reward: -636.24 | Best: -467.30
Update 046 | Val Reward: -655.89 | Best: -467.30
Update 047 | Val Reward: -363.34 | Best: -363.34
Update 048 | Val Reward: -745.37 | Best: -363.34
Update 049 | Val Reward: -577.10 | Best: -363.34
Update 050 | Val Reward: -1262.83 | Best: -363.34
Update 051 | Val Reward: -942.05 | Best: -363.34
Update 052 | Val Reward: -761.34 | Best: -363.34
Update 053 | Val Reward: -1036.10 | Best: -363.34
Update 054 | Val Reward: -458.89 | Best: -363.34
Update 055 | Val Reward: -295.35 | Best: -295.35
Update 056 | Val Reward: -353.23 | Best: -295.35
Update 057 | Val Reward: -267.80 | Best: -267.80
Update 058 | Val Reward: -434.33 | Best: -267.80
Update 059 | Val Reward: -362.17 | Best: -267.80
Update 060 | Val Reward: -256.11 | Best: -256.11
Update 061 | Val Reward: -298.25 | Best: -256.11
Update 062 | Val Reward: -486.14 | Best: -256.11
Update 063 | Val Reward: -782.34 | Best: -256.11
Update 064 | Val Reward: -201.04 | Best: -201.04
Update 065 | Val Reward: -170.76 | Best: -170.76
Update 066 | Val Reward: -285.85 | Best: -170.76
Update 067 | Val Reward: -299.17 | Best: -170.76
Update 068 | Val Reward: -148.28 | Best: -148.28
Update 069 | Val Reward: -414.65 | Best: -148.28
Update 070 | Val Reward: -181.54 | Best: -148.28
Update 071 | Val Reward: -102.90 | Best: -102.90
Update 072 | Val Reward: -157.77 | Best: -102.90
Update 073 | Val Reward: -122.46 | Best: -102.90
Update 074 | Val Reward: -40.08 | Best: -40.08
Update 075 | Val Reward: -86.32 | Best: -40.08
Update 076 | Val Reward: -95.42 | Best: -40.08
Update 077 | Val Reward: -29.72 | Best: -29.72
Update 078 | Val Reward: -113.46 | Best: -29.72
Update 079 | Val Reward: -34.15 | Best: -29.72
Update 080 | Val Reward: -325.84 | Best: -29.72
Update 081 | Val Reward: -26.44 | Best: -26.44
Update 082 | Val Reward: -92.46 | Best: -26.44
Update 083 | Val Reward: -23.76 | Best: -23.76
Update 084 | Val Reward: -30.49 | Best: -23.76
Update 085 | Val Reward: -135.65 | Best: -23.76
Update 086 | Val Reward: -54.35 | Best: -23.76
Update 087 | Val Reward: -120.93 | Best: -23.76
Update 088 | Val Reward: -25.19 | Best: -23.76
Update 089 | Val Reward: -280.27 | Best: -23.76
Update 090 | Val Reward: -22.23 | Best: -22.23
Update 091 | Val Reward: -41.08 | Best: -22.23
Update 092 | Val Reward: -56.64 | Best: -22.23
Update 093 | Val Reward: -47.01 | Best: -22.23
Update 094 | Val Reward: -143.29 | Best: -22.23
Update 095 | Val Reward: -281.33 | Best: -22.23
Update 096 | Val Reward: -77.64 | Best: -22.23
Update 097 | Val Reward: -152.10 | Best: -22.23
Update 098 | Val Reward: -66.64 | Best: -22.23
Update 099 | Val Reward: -122.86 | Best: -22.23
Update 100 | Val Reward: -204.74 | Best: -22.23

✅ Training complete.
📈 Best Val Reward: -22.23
🔬 Ablation setting: no_content=True, no_vmaf=False, tag=no_content
