
🧠 Using device: cpu

📊 Loading traces...
📊 FCC Traces Loaded:
   Train: 184
   Val: 40
   Test: 40
✅ Loaded 264 FCC traces into memory
✅ Reward type: Bitrate-Based

✓ Loaded 127 traces
  Train: 88
  Val:   19
  Test:  20
✓ Loaded 127 traces
  Train: 88
  Val:   19
  Test:  20
📊 Logging to: results/logs/ablation_no_vmaf.jsonl

🚀 Starting training (Ablation Mode)

Update 001 | Val Reward: -2228.04 | Best: -2228.04
Update 002 | Val Reward: -4287.53 | Best: -2228.04
Update 003 | Val Reward: -1426.88 | Best: -1426.88
Update 004 | Val Reward: -1411.93 | Best: -1411.93
Update 005 | Val Reward: -722.64 | Best: -722.64
Update 006 | Val Reward: -1216.29 | Best: -722.64
Update 007 | Val Reward: -1401.38 | Best: -722.64
Update 008 | Val Reward: -1333.07 | Best: -722.64
Update 009 | Val Reward: -1664.21 | Best: -722.64
Update 010 | Val Reward: -782.93 | Best: -722.64
Update 011 | Val Reward: -1080.32 | Best: -722.64
Update 012 | Val Reward: -1062.11 | Best: -722.64
Update 013 | Val Reward: -1150.11 | Best: -722.64
Update 014 | Val Reward: -1135.95 | Best: -722.64
Update 015 | Val Reward: -999.13 | Best: -722.64
Update 016 | Val Reward: -1239.99 | Best: -722.64
Update 017 | Val Reward: -580.18 | Best: -580.18
Update 018 | Val Reward: -848.35 | Best: -580.18
Update 019 | Val Reward: -1126.72 | Best: -580.18
Update 020 | Val Reward: -532.60 | Best: -532.60
Update 021 | Val Reward: -1192.86 | Best: -532.60
Update 022 | Val Reward: -985.76 | Best: -532.60
Update 023 | Val Reward: -392.56 | Best: -392.56
Update 024 | Val Reward: -1284.22 | Best: -392.56
Update 025 | Val Reward: -554.75 | Best: -392.56
Update 026 | Val Reward: -1044.64 | Best: -392.56
Update 027 | Val Reward: -1354.18 | Best: -392.56
Update 028 | Val Reward: -678.49 | Best: -392.56
Update 029 | Val Reward: -887.22 | Best: -392.56
Update 030 | Val Reward: -734.59 | Best: -392.56
Update 031 | Val Reward: -908.15 | Best: -392.56
Update 032 | Val Reward: -635.50 | Best: -392.56
Update 033 | Val Reward: -1088.85 | Best: -392.56
Update 034 | Val Reward: -470.59 | Best: -392.56
Update 035 | Val Reward: -676.86 | Best: -392.56
Update 036 | Val Reward: -585.01 | Best: -392.56
Update 037 | Val Reward: -697.04 | Best: -392.56
Update 038 | Val Reward: -486.78 | Best: -392.56
Update 039 | Val Reward: -841.33 | Best: -392.56
Update 040 | Val Reward: -621.88 | Best: -392.56
Update 041 | Val Reward: -418.71 | Best: -392.56
Update 042 | Val Reward: -769.40 | Best: -392.56
Update 043 | Val Reward: -439.69 | Best: -392.56
Update 044 | Val Reward: -1113.39 | Best: -392.56
Update 045 | Val Reward: -579.93 | Best: -392.56
Update 046 | Val Reward: -601.59 | Best: -392.56
Update 047 | Val Reward: -308.80 | Best: -308.80
Update 048 | Val Reward: -689.95 | Best: -308.80
Update 049 | Val Reward: -520.20 | Best: -308.80
Update 050 | Val Reward: -1194.75 | Best: -308.80
Update 051 | Val Reward: -890.31 | Best: -308.80
